0,1,2,3,4,5,6,7,8,9,10,11,date,sitrep
"Total 
Total 
Total 
Days since last 
Reporting Country/ 
Total 
Transmission 
confirmed
confirmed 
new 
reported case 
Territory/Area† 
deaths 
classification§ 
‡ cases 
new cases1 
deaths1",,,,,,,,,,,,20200320,60
Western Pacific Region,,,,,,,,,,,,20200320,60
China,81300,126,3253,11,Local transmission,0,,,,,,20200320,60
Republic of Korea,8652,239,94,10,Local transmission,0,,,,,,20200320,60
Japan,950,77,33,4,Local transmission,0,,,,,,20200320,60
Malaysia,900,227,2,0,Local transmission,0,,,,,,20200320,60
Australia,709,199,6,0,Local transmission,0,,,,,,20200320,60
Singapore,345,32,0,0,Local transmission,0,,,,,,20200320,60
Philippines,217,30,17,3,Local transmission,0,,,,,,20200320,60
Viet Nam,85,19,0,0,Local transmission,0,,,,,,20200320,60
Brunei Darussalam,73,17,0,0,Local transmission,0,,,,,,20200320,60
Cambodia,47,12,0,0,Local transmission,0,,,,,,20200320,60
New Zealand,39,19,0,0,Local transmission,0,,,,,,20200320,60
Mongolia,6,1,0,0,Imported cases only,0,,,,,,20200320,60
Fiji,1,1,0,0,Imported cases only,0,,,,,,20200320,60
Territories**,,,,,,,,,,,,20200320,60
"Guam 
12 
7 
0 
0 
Local transmission 
0",,,,,,,,,,,,20200320,60
"French Polynesia 
11 
8 
0 
0 
Imported cases only 
0",,,,,,,,,,,,20200320,60
"New Caledonia 
2 
2 
0 
0 
Imported cases only 
0",,,,,,,,,,,,20200320,60
European Region,,,,,,,,,,,,20200320,60
Italy,41035,5322,3407,429,Local transmission,0,,,,,,20200320,60
Spain,17147,3431,767,169,Local transmission,0,,,,,,20200320,60
Germany,10999,2801,20,8,Local transmission,0,,,,,,20200320,60
France,10877,1834,372,128,Local transmission,0,,,,,,20200320,60
Switzerland,3863,853,33,12,Local transmission,0,,,,,,20200320,60
The United Kingdom,3277,647,144,41,Local transmission,0,,,,,,20200320,60
Netherlands,2460,409,76,18,Local transmission,0,,,,,,20200320,60
Austria,1843,197,5,1,Local transmission,0,,,,,,20200320,60
Belgium,1795,309,14,0,Local transmission,0,,,,,,20200320,60
Norway,1552,129,6,3,Local transmission,0,,,,,,20200320,60
Sweden,1423,144,3,0,Local transmission,0,,,,,,20200320,60
Denmark,1132,88,6,2,Local transmission,0,,,,,,20200320,60
Portugal,785,143,3,1,Local transmission,0,,,,,,20200320,60
Czechia,694,172,0,0,Local transmission,0,,,,,,20200320,60
Ireland,557,265,3,1,Local transmission,0,,,,,,20200320,60
Israel,529,102,0,0,Local transmission,0,,,,,,20200320,60
Greece,418,0,5,0,Local transmission,1,,,,,,20200320,60
Finland,369,10,0,0,Local transmission,0,,,,,,20200320,60
Luxembourg,345,135,4,2,Local transmission,0,,,,,,20200320,60
Iceland,330,80,0,0,Local transmission,0,,,,,,20200320,60
Poland,325,38,5,0,Local transmission,0,,,,,,20200320,60
Slovenia,319,33,1,0,Local transmission,0,,,,,,20200320,60
Estonia,267,9,0,0,Local transmission,0,,,,,,20200320,60
Romania,260,14,0,0,Local transmission,0,,,,,,20200320,60
Russian Federation,199,52,0,0,Imported cases only,0,,,,,,20200320,60
Turkey,191,0,2,0,Local transmission,1,,,,,,20200320,60
San Marino,126,17,14,0,Local transmission,0,,,,,,20200320,60
Serbia††,123,41,0,0,Local transmission,0,,,,,,20200320,60
Slovakia,123,18,0,0,Local transmission,0,,,,,,20200320,60
Armenia,122,38,0,0,Local transmission,0,,,,,,20200320,60
Bulgaria,94,2,3,1,Local transmission,0,,,,,,20200320,60
Latvia,86,15,0,0,Imported cases only,0,,,,,,20200320,60
Croatia,81,0,0,0,Local transmission,1,,,,,,20200320,60
Hungary,73,15,1,0,Local transmission,0,,,,,,20200320,60
Albania,70,11,2,0,Local transmission,0,,,,,,20200320,60
Cyprus,58,0,0,0,Local transmission,1,,,,,,20200320,60
Malta,53,5,0,0,Imported cases only,0,,,,,,20200320,60
Republic of Moldova,49,13,0,0,Local transmission,0,,,,,,20200320,60
North Macedonia,48,17,0,0,Local transmission,0,,,,,,20200320,60
Belarus,46,0,0,0,Local transmission,1,,,,,,20200320,60
Kazakhstan,46,10,0,0,Imported cases only,0,,,,,,20200320,60
"Bosnia and 
Herzegovina",44,8,0,0,Local transmission,0,,,,,,20200320,60
