0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,date,sitrep
"Total 
Total 
Total 
Days since last 
Reporting Country/ 
Total 
Transmission 
confirmed
confirmed 
new 
reported case 
Territory/Area† 
deaths 
classification§ 
‡ cases 
new cases 
deaths",,,,,,,,,,,,,,,20200326,66
Western Pacific Region,,,,,,,,,,,,,,,20200326,66
China,81961,113,3293,6,Local transmission,0,,,,,,,,,20200326,66
Republic of Korea,9241,104,131,5,Local transmission,0,,,,,,,,,20200326,66
Australia,2799,547,11,3,Local transmission,0,,,,,,,,,20200326,66
Malaysia,1796,172,19,3,Local transmission,0,,,,,,,,,20200326,66
Japan,1291,98,45,2,Local transmission,0,,,,,,,,,20200326,66
Philippines,636,84,38,3,Local transmission,0,,,,,,,,,20200326,66
Singapore,631,73,2,0,Local transmission,0,,,,,,,,,20200326,66
New Zealand,262,73,0,0,Local transmission,0,,,,,,,,,20200326,66
Viet Nam,141,7,0,0,Local transmission,0,,,,,,,,,20200326,66
Brunei Darussalam,109,5,0,0,Local transmission,0,,,,,,,,,20200326,66
Cambodia,96,5,0,0,Local transmission,0,,,,,,,,,20200326,66
Mongolia,10,0,0,0,Imported cases only,4,,,,,,,,,20200326,66
Fiji,5,1,0,0,Local transmission,0,,,,,,,,,20200326,66
"Lao People's 
Democratic Republic",3,1,0,0,Under investigation,0,,,,,,,,,20200326,66
Papua New Guinea,1,0,0,0,Imported cases only,5,,,,,,,,,20200326,66
Territories**,,,,,,,,,,,,,,,20200326,66
"Guam 
37 
5 
1 
0 
Local transmission 
0",,,,,,,,,,,,,,,20200326,66
"French Polynesia 
25 
0 
0 
0 
Local transmission 
1",,,,,,,,,,,,,,,20200326,66
"New Caledonia 
14 
4 
0 
0 
Local transmission 
0",,,,,,,,,,,,,,,20200326,66
European Region,,,,,,,,,,,,,,,20200326,66
Italy,74386,5210,7505,685,Local transmission,0,,,,,,,,,20200326,66
Spain,47610,7937,3434,738,Local transmission,0,,,,,,,,,20200326,66
Germany,36508,4954,198,49,Local transmission,0,,,,,,,,,20200326,66
France,24920,2895,1331,231,Local transmission,0,,,,,,,,,20200326,66
Switzerland,9714,925,103,17,Local transmission,0,,,,,,,,,20200326,66
The United Kingdom,9533,1452,463,41,Local transmission,0,,,,,,,,,20200326,66
Netherlands,6412,852,356,80,Local transmission,0,,,,,,,,,20200326,66
Austria,5888,606,34,4,Local transmission,0,,,,,,,,,20200326,66
Belgium,4937,668,178,56,Local transmission,0,,,,,,,,,20200326,66
Portugal,2995,633,43,10,Local transmission,0,,,,,,,,,20200326,66
Norway,2916,350,12,2,Local transmission,0,,,,,,,,,20200326,66
Sweden,2510,238,42,6,Local transmission,0,,,,,,,,,20200326,66
Turkey,2433,561,59,15,Local transmission,0,,,,,,,,,20200326,66
Israel,2369,199,5,0,Local transmission,0,,,,,,,,,20200326,66
Denmark,1724,133,34,2,Local transmission,0,,,,,,,,,20200326,66
Czechia,1654,260,6,3,Local transmission,0,,,,,,,,,20200326,66
Ireland,1564,235,9,2,Local transmission,0,,,,,,,,,20200326,66
Luxembourg,1333,234,8,0,Local transmission,0,,,,,,,,,20200326,66
Poland,1051,150,14,4,Local transmission,0,,,,,,,,,20200326,66
Romania,906,144,13,2,Local transmission,0,,,,,,,,,20200326,66
Finland,880,88,3,2,Local transmission,0,,,,,,,,,20200326,66
Russian Federation,840,182,2,2,Local transmission,0,,,,,,,,,20200326,66
Greece,821,78,22,2,Local transmission,0,,,,,,,,,20200326,66
Iceland,737,89,2,0,Local transmission,0,,,,,,,,,20200326,66
Slovenia,528,48,4,1,Local transmission,0,,,,,,,,,20200326,66
Croatia,418,36,1,0,Local transmission,0,,,,,,,,,20200326,66
Estonia,404,35,1,1,Local transmission,0,,,,,,,,,20200326,66
Serbia,384,81,4,1,Local transmission,0,,,,,,,,,20200326,66
Armenia,290,25,0,0,Local transmission,0,,,,,,,,,20200326,66
Lithuania,274,65,4,2,Local transmission,0,,,,,,,,,20200326,66
Hungary,261,35,10,0,Local transmission,0,,,,,,,,,20200326,66
Bulgaria,242,22,3,0,Local transmission,0,,,,,,,,,20200326,66
Latvia,221,24,0,0,Local transmission,0,,,,,,,,,20200326,66
Slovakia,216,12,0,0,Local transmission,0,,,,,,,,,20200326,66
Andorra,213,25,3,2,Local transmission,0,,,,,,,,,20200326,66
San Marino,208,21,21,0,Local transmission,0,,,,,,,,,20200326,66
