0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,date,sitrep
North Macedonia,177,29,2,0,Local transmission,0,,,,,,,,,20200326,66
Albania,174,28,5,0,Local transmission,0,,,,,,,,,20200326,66
"Bosnia and 
Herzegovina",173,9,3,1,Local transmission,0,,,,,,,,,20200326,66
Ukraine,156,43,5,1,Local transmission,0,,,,,,,,,20200326,66
Republic of Moldova,149,24,1,0,Local transmission,0,,,,,,,,,20200326,66
Cyprus,132,8,3,0,Local transmission,0,,,,,,,,,20200326,66
Malta,129,9,0,0,Local transmission,0,,,,,,,,,20200326,66
Kazakhstan,97,18,0,0,Imported cases only,0,,,,,,,,,20200326,66
Azerbaijan,93,6,2,1,Local transmission,0,,,,,,,,,20200326,66
Belarus,86,5,0,0,Local transmission,0,,,,,,,,,20200326,66
Georgia,77,4,0,0,Local transmission,0,,,,,,,,,20200326,66
Uzbekistan,65,15,0,0,Local transmission,0,,,,,,,,,20200326,66
Montenegro,52,23,1,1,Imported cases only,0,,,,,,,,,20200326,66
Liechtenstein,51,4,0,0,Imported cases only,0,,,,,,,,,20200326,66
Kyrgyzstan,44,2,0,0,Local transmission,0,,,,,,,,,20200326,66
Monaco,23,0,0,0,Local transmission,3,,,,,,,,,20200326,66
Holy See,4,3,0,0,Under investigation,0,,,,,,,,,20200326,66
Territories**,,,,,,,,,,,,,,,20200326,66
Faroe Islands,132,10,0,0,Local transmission,0,,,,,,,,,20200326,66
Kosovo[1],71,8,1,0,Local transmission,0,,,,,,,,,20200326,66
Guernsey,30,7,0,0,Local transmission,0,,,,,,,,,20200326,66
Gibraltar,26,11,0,0,Local transmission,0,,,,,,,,,20200326,66
Isle of Man,23,0,0,0,Imported cases only,1,,,,,,,,,20200326,66
Jersey,18,2,0,0,Local transmission,0,,,,,,,,,20200326,66
Greenland,5,1,0,0,Under investigation,0,,,,,,,,,20200326,66
South-East Asia Region,,,,,,,,,,,,,,,20200326,66
Thailand,934,0,4,0,Local transmission,1,,,,,,,,,20200326,66
Indonesia,790,104,58,3,Local transmission,0,,,,,,,,,20200326,66
India,649,87,13,4,Local transmission,0,,,,,,,,,20200326,66
Sri Lanka,102,0,0,0,Local transmission,1,,,,,,,,,20200326,66
Bangladesh,39,0,4,0,Local transmission,1,,,,,,,,,20200326,66
Maldives,13,0,0,0,Local transmission,10,,,,,,,,,20200326,66
Myanmar,3,0,0,0,Imported cases only,1,,,,,,,,,20200326,66
Nepal,3,1,0,0,Imported cases only,0,,,,,,,,,20200326,66
Bhutan,2,0,0,0,Imported cases only,6,,,,,,,,,20200326,66
Timor-Leste,1,0,0,0,Imported cases only,5,,,,,,,,,20200326,66
Eastern Mediterranean Region,,,,,,,,,,,,,,,20200326,66
"Iran (Islamic Republic 
of)",27017,2206,2077,143,Local transmission,0,,,,,,,,,20200326,66
Pakistan,1057,66,8,1,Local transmission,0,,,,,,,,,20200326,66
Saudi Arabia,900,133,2,1,Local transmission,0,,,,,,,,,20200326,66
Qatar,537,11,0,0,Local transmission,0,,,,,,,,,20200326,66
Egypt,456,54,21,1,Local transmission,0,,,,,,,,,20200326,66
Bahrain,419,27,4,1,Local transmission,0,,,,,,,,,20200326,66
Iraq,346,30,29,2,Local transmission,0,,,,,,,,,20200326,66
Lebanon,333,29,4,0,Local transmission,0,,,,,,,,,20200326,66
United Arab Emirates,333,85,2,0,Local transmission,0,,,,,,,,,20200326,66
Morocco,225,55,6,1,Local transmission,0,,,,,,,,,20200326,66
Kuwait,208,13,0,0,Local transmission,0,,,,,,,,,20200326,66
Tunisia,173,59,5,2,Local transmission,0,,,,,,,,,20200326,66
Jordan,172,19,0,0,Local transmission,0,,,,,,,,,20200326,66
Oman,99,0,0,0,Local transmission,1,,,,,,,,,20200326,66
Afghanistan,80,6,2,1,Local transmission,0,,,,,,,,,20200326,66
Djibouti,12,9,0,0,Local transmission,0,,,,,,,,,20200326,66
Syrian Arab Republic,5,4,0,0,Imported cases only,0,,,,,,,,,20200326,66
Sudan,3,0,1,0,Imported cases only,1,,,,,,,,,20200326,66
Somalia,2,1,0,0,Imported cases only,0,,,,,,,,,20200326,66
Libya,1,0,0,0,Imported cases only,1,,,,,,,,,20200326,66
Territories**,,,,,,,,,,,,,,,20200326,66
"occupied Palestinian 
64 
4 
1 
1 
Local transmission 
0 
territory",,,,,,,,,,,,,,,20200326,66
Region of the Americas,,,,,,,,,,,,,,,20200326,66
"United States of 
America",63570,11656,884,211,Local transmission,0,,,,,,,,,20200326,66
Canada,3409,1670,35,10,Local transmission,0,,,,,,,,,20200326,66
Brazil,2433,232,57,11,Local transmission,0,,,,,,,,,20200326,66
Ecuador,1211,162,29,2,Local transmission,0,,,,,,,,,20200326,66
Chile,1142,220,3,1,Local transmission,0,,,,,,,,,20200326,66
Panama,558,213,8,2,Local transmission,0,,,,,,,,,20200326,66
Peru,480,64,9,4,Local transmission,0,,,,,,,,,20200326,66
Mexico,478,108,5,1,Local transmission,0,,,,,,,,,20200326,66
Colombia,470,164,4,1,Local transmission,0,,,,,,,,,20200326,66
Dominican Republic,392,80,10,4,Local transmission,0,,,,,,,,,20200326,66
Argentina,387,86,6,2,Local transmission,0,,,,,,,,,20200326,66
Uruguay,217,55,0,0,Imported cases only,0,,,,,,,,,20200326,66
Costa Rica,201,24,2,0,Local transmission,0,,,,,,,,,20200326,66
"Venezuela (Bolivarian 
Republic of)",91,14,0,0,Local transmission,0,,,,,,,,,20200326,66
Trinidad and Tobago,60,3,1,1,Local transmission,0,,,,,,,,,20200326,66
Cuba,57,9,1,0,Local transmission,0,,,,,,,,,20200326,66
Honduras,52,22,0,0,Local transmission,0,,,,,,,,,20200326,66
Paraguay,41,14,3,1,Local transmission,0,,,,,,,,,20200326,66
"Bolivia (Plurinational 
State of)",39,11,0,0,Local transmission,0,,,,,,,,,20200326,66
Jamaica,26,5,1,0,Local transmission,0,,,,,,,,,20200326,66
Guatemala,24,3,1,0,Local transmission,0,,,,,,,,,20200326,66
Barbados,18,0,0,0,Local transmission,1,,,,,,,,,20200326,66
El Salvador,13,8,0,0,Imported cases only,0,,,,,,,,,20200326,66
Haiti,8,1,0,0,Imported cases only,0,,,,,,,,,20200326,66
Dominica,7,5,0,0,Local transmission,0,,,,,,,,,20200326,66
Suriname,7,1,0,0,Imported cases only,0,,,,,,,,,20200326,66
Bahamas,5,1,0,0,Local transmission,0,,,,,,,,,20200326,66
Guyana,5,0,1,0,Local transmission,7,,,,,,,,,20200326,66
Antigua and Barbuda,3,0,0,0,Imported cases only,1,,,,,,,,,20200326,66
Saint Lucia,3,0,0,0,Imported cases only,2,,,,,,,,,20200326,66
Belize,2,1,0,0,Local transmission,0,,,,,,,,,20200326,66
Nicaragua,2,0,0,0,Imported cases only,4,,,,,,,,,20200326,66
Saint Kitts and Nevis,2,2,0,0,Imported cases only,0,,,,,,,,,20200326,66
Grenada,1,0,0,0,Imported cases only,3,,,,,,,,,20200326,66
"Saint Vincent and the 
Grenadines",1,0,0,0,Imported cases only,13,,,,,,,,,20200326,66
Territories**,,,,,,,,,,,,,,,20200326,66
Guadeloupe,76,3,0,0,Imported cases only,0,,,,,,,,,20200326,66
Martinique,66,9,1,1,Imported cases only,0,,,,,,,,,20200326,66
Puerto Rico,51,12,2,0,Imported cases only,0,,,,,,,,,20200326,66
French Guiana,28,5,0,0,Local transmission,0,,,,,,,,,20200326,66
Aruba,19,7,0,0,Local transmission,0,,,,,,,,,20200326,66
"United States Virgin 
Islands",17,0,0,0,Imported cases only,2,,,,,,,,,20200326,66
Saint Martin,11,3,0,0,Under investigation,0,,,,,,,,,20200326,66
Cayman Islands,8,3,1,0,Imported cases only,0,,,,,,,,,20200326,66
Bermuda,7,1,0,0,Local transmission,0,,,,,,,,,20200326,66
Curaçao,6,0,1,0,Imported cases only,1,,,,,,,,,20200326,66
Saint Barthélemy,3,0,0,0,Under investigation,10,,,,,,,,,20200326,66
Montserrat,2,1,0,0,Imported cases only,0,,,,,,,,,20200326,66
Sint Maarten,2,0,0,0,Imported cases only,2,,,,,,,,,20200326,66
"Turks and Caicos 
Islands",1,0,0,0,Imported cases only,2,,,,,,,,,20200326,66
African Region,,,,,,,,,,,,,,,20200326,66
South Africa,709,155,0,0,Local transmission,0,,,,,,,,,20200326,66
Algeria,264,0,17,0,Local transmission,1,,,,,,,,,20200326,66
Burkina Faso,146,32,3,0,Local transmission,0,,,,,,,,,20200326,66
Senegal,99,13,0,0,Local transmission,0,,,,,,,,,20200326,66
Côte d’Ivoire,80,8,0,0,Imported cases only,0,,,,,,,,,20200326,66
Cameroon,70,0,1,0,Local transmission,2,,,,,,,,,20200326,66
Ghana,68,15,2,0,Local transmission,0,,,,,,,,,20200326,66
"Democratic Republic 
of the Congo",51,6,3,1,Local transmission,0,,,,,,,,,20200326,66
Mauritius,47,5,2,0,Imported cases only,0,,,,,,,,,20200326,66
Nigeria,46,4,1,1,Local transmission,0,,,,,,,,,20200326,66
Rwanda,41,1,0,0,Local transmission,0,,,,,,,,,20200326,66
Kenya,25,0,0,0,Local transmission,1,,,,,,,,,20200326,66
Togo,23,3,0,0,Imported cases only,0,,,,,,,,,20200326,66
Madagascar,19,0,0,0,Imported cases only,1,,,,,,,,,20200326,66
Uganda,14,5,0,0,Imported cases only,0,,,,,,,,,20200326,66
"United Republic of 
Tanzania",13,1,0,0,Imported cases only,0,,,,,,,,,20200326,66
Ethiopia,12,0,0,0,Imported cases only,1,,,,,,,,,20200326,66
Seychelles,7,0,0,0,Imported cases only,4,,,,,,,,,20200326,66
Equatorial Guinea,6,0,0,0,Imported cases only,4,,,,,,,,,20200326,66
Gabon,6,0,1,0,Imported cases only,3,,,,,,,,,20200326,66
Benin,5,0,0,0,Imported cases only,2,,,,,,,,,20200326,66
"Central African 
Republic",5,1,0,0,Imported cases only,0,,,,,,,,,20200326,66
Mozambique,5,2,0,0,Local transmission,0,,,,,,,,,20200326,66
Namibia,5,1,0,0,Imported cases only,0,,,,,,,,,20200326,66
Congo,4,0,0,0,Imported cases only,4,,,,,,,,,20200326,66
Eritrea,4,3,0,0,Imported cases only,0,,,,,,,,,20200326,66
Eswatini,4,0,0,0,Imported cases only,3,,,,,,,,,20200326,66
Guinea,4,0,0,0,Imported cases only,2,,,,,,,,,20200326,66
Cabo Verde,3,0,0,0,Imported cases only,4,,,,,,,,,20200326,66
Chad,3,0,0,0,Imported cases only,2,,,,,,,,,20200326,66
Liberia,3,0,0,0,Local transmission,4,,,,,,,,,20200326,66
Zambia,3,0,0,0,Imported cases only,3,,,,,,,,,20200326,66
Angola,2,0,0,0,Imported cases only,4,,,,,,,,,20200326,66
Gambia,2,0,0,0,Imported cases only,1,,,,,,,,,20200326,66
Guinea-Bissau,2,2,0,0,Imported cases only,0,,,,,,,,,20200326,66
Mali,2,2,0,0,Imported cases only,0,,,,,,,,,20200326,66
Mauritania,2,0,0,0,Imported cases only,7,,,,,,,,,20200326,66
Niger,2,0,0,0,Imported cases only,2,,,,,,,,,20200326,66
Zimbabwe,2,0,1,0,Imported cases only,4,,,,,,,,,20200326,66
Territories**,,,,,,,,,,,,,,,20200326,66
Réunion,94,11,0,0,Local transmission,0,,,,,,,,,20200326,66
Mayotte,35,5,0,0,Local transmission,0,,,,,,,,,20200326,66
"Subtotal for all 
regions",461972,49219,20827,2401,,,,,,,,,,,20200326,66
"International 
conveyance 
(Diamond Princess)",712,0,7,0,Local transmission,10,,,,,,,,,20200326,66
Grand total,462684,49219,20834,2401,,,,,,,,,,,20200326,66
,,,,,,,,,,,,,,,20200326,66
,,,,,,,,,,,,,,,20200326,66
,,,,,,,,,,,,,,,20200326,66
