0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,date,sitrep
"Province/  
Region/  
City","Population 
(10,000s)",Daily,,,Cumulative,,,,,,,,,,,,,,,,,,,,,,,,,,,20200226,37
,,"Confirmed 
cases","Suspected 
cases",Deaths,"Confirmed 
cases",Deaths,,,,,,,,,,,,,,,,,,,,,,,,,,20200226,37
Hubei,5917,401,311,52,65187,2615,,,,,,,,,,,,,,,,,,,,,,,,,,20200226,37
Guangdong,11346,0,0,0,1347,7,,,,,,,,,,,,,,,,,,,,,,,,,,20200226,37
Henan,9605,0,1,0,1271,19,,,,,,,,,,,,,,,,,,,,,,,,,,20200226,37
Zhejiang,5737,0,2,0,1205,1,,,,,,,,,,,,,,,,,,,,,,,,,,20200226,37
Hunan,6899,0,1,0,1016,4,,,,,,,,,,,,,,,,,,,,,,,,,,20200226,37
Anhui,6324,0,0,0,989,6,,,,,,,,,,,,,,,,,,,,,,,,,,20200226,37
Jiangxi,4648,0,0,0,934,1,,,,,,,,,,,,,,,,,,,,,,,,,,20200226,37
Shandong,10047,1,1,0,756,6,,,,,,,,,,,,,,,,,,,,,,,,,,20200226,37
Jiangsu,8051,0,0,0,631,0,,,,,,,,,,,,,,,,,,,,,,,,,,20200226,37
Chongqing,3102,0,9,0,576,6,,,,,,,,,,,,,,,,,,,,,,,,,,20200226,37
Sichuan,8341,2,7,0,531,3,,,,,,,,,,,,,,,,,,,,,,,,,,20200226,37
Heilongjiang,3773,0,0,0,480,12,,,,,,,,,,,,,,,,,,,,,,,,,,20200226,37
Beijing,2154,0,21,0,400,4,,,,,,,,,,,,,,,,,,,,,,,,,,20200226,37
Shanghai,2424,1,46,0,336,3,,,,,,,,,,,,,,,,,,,,,,,,,,20200226,37
Hebei,7556,1,0,0,312,6,,,,,,,,,,,,,,,,,,,,,,,,,,20200226,37
Fujian,3941,0,0,0,294,1,,,,,,,,,,,,,,,,,,,,,,,,,,20200226,37
Guangxi,4926,0,2,0,252,2,,,,,,,,,,,,,,,,,,,,,,,,,,20200226,37
Shaanxi,3864,0,0,0,245,1,,,,,,,,,,,,,,,,,,,,,,,,,,20200226,37
Yunnan,4830,0,7,0,174,2,,,,,,,,,,,,,,,,,,,,,,,,,,20200226,37
Hainan,934,0,6,0,168,5,,,,,,,,,,,,,,,,,,,,,,,,,,20200226,37
Guizhou,3600,0,0,0,146,2,,,,,,,,,,,,,,,,,,,,,,,,,,20200226,37
Tianjin,1560,0,14,0,135,3,,,,,,,,,,,,,,,,,,,,,,,,,,20200226,37
Shanxi,3718,0,1,0,133,0,,,,,,,,,,,,,,,,,,,,,,,,,,20200226,37
Liaoning,4359,0,6,0,121,1,,,,,,,,,,,,,,,,,,,,,,,,,,20200226,37
Jilin,2704,0,2,0,93,1,,,,,,,,,,,,,,,,,,,,,,,,,,20200226,37
Gansu,2637,0,0,0,91,2,,,,,,,,,,,,,,,,,,,,,,,,,,20200226,37
Hong Kong SAR,745,4,0,0,85,2,,,,,,,,,,,,,,,,,,,,,,,,,,20200226,37
Xinjiang,2487,0,0,0,76,2,,,,,,,,,,,,,,,,,,,,,,,,,,20200226,37
Inner Mongolia,2534,0,0,0,75,0,,,,,,,,,,,,,,,,,,,,,,,,,,20200226,37
Ningxia,688,0,2,0,71,0,,,,,,,,,,,,,,,,,,,,,,,,,,20200226,37
Taipei and environs,2359,2,0,0,32,1,,,,,,,,,,,,,,,,,,,,,,,,,,20200226,37
Qinghai,603,0,0,0,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,20200226,37
Macao SAR,66,0,0,0,10,0,,,,,,,,,,,,,,,,,,,,,,,,,,20200226,37
Xizang,344,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,20200226,37
Total,142823,412,439,52,78191,2718,,,,,,,,,,,,,,,,,,,,,,,,,,20200226,37
