0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,date,sitrep
"Province/  
Region/  
City","Population 
(10,000s)",Daily,,,Cumulative,,,,,,,,,,,,,,,20200217,28
,,"Confirmed 
cases*","Suspected 
cases",Deaths,"Confirmed 
cases",Deaths,,,,,,,,,,,,,,20200217,28
Hubei,5917,1933,909,100,58182,1696,,,,,,,,,,,,,,20200217,28
Guangdong,11346,6,1,2,1322,4,,,,,,,,,,,,,,20200217,28
Henan,9605,15,112,3,1246,16,,,,,,,,,,,,,,20200217,28
Zhejiang,5737,4,13,0,1171,0,,,,,,,,,,,,,,20200217,28
Hunan,6899,2,14,0,1006,3,,,,,,,,,,,,,,20200217,28
Anhui,6324,11,9,0,973,6,,,,,,,,,,,,,,20200217,28
Jiangxi,4648,5,2,0,930,1,,,,,,,,,,,,,,20200217,28
Jiangsu,8051,9,3,0,626,0,,,,,,,,,,,,,,20200217,28
Chongqing,3102,7,63,0,551,5,,,,,,,,,,,,,,20200217,28
Shandong,10047,4,21,0,541,2,,,,,,,,,,,,,,20200217,28
Sichuan,8341,14,40,0,495,3,,,,,,,,,,,,,,20200217,28
Heilongjiang,3773,12,27,0,457,11,,,,,,,,,,,,,,20200217,28
Beijing,2154,1,33,0,381,4,,,,,,,,,,,,,,20200217,28
Shanghai,2424,3,67,0,331,1,,,,,,,,,,,,,,20200217,28
Hebei,7556,1,2,0,301,3,,,,,,,,,,,,,,20200217,28
Fujian,3941,3,3,0,290,0,,,,,,,,,,,,,,20200217,28
Shaanxi,3864,4,15,0,240,0,,,,,,,,,,,,,,20200217,28
Guangxi,4926,1,26,0,238,2,,,,,,,,,,,,,,20200217,28
Yunnan,4830,2,22,0,171,0,,,,,,,,,,,,,,20200217,28
Hainan,934,0,27,0,162,4,,,,,,,,,,,,,,20200217,28
Guizhou,3600,2,2,0,146,1,,,,,,,,,,,,,,20200217,28
Shanxi,3718,1,5,0,129,0,,,,,,,,,,,,,,20200217,28
Tianjin,1560,2,88,0,124,3,,,,,,,,,,,,,,20200217,28
Liaoning,4359,1,45,0,121,1,,,,,,,,,,,,,,20200217,28
Gansu,2637,1,0,0,91,2,,,,,,,,,,,,,,20200217,28
Jilin,2704,0,9,0,89,1,,,,,,,,,,,,,,20200217,28
Xinjiang,2487,2,2,0,73,1,,,,,,,,,,,,,,20200217,28
Inner Mongolia,2534,2,3,0,72,0,,,,,,,,,,,,,,20200217,28
Ningxia,688,0,0,0,70,0,,,,,,,,,,,,,,20200217,28
Hong Kong SAR,745,1,0,0,57,1,,,,,,,,,,,,,,20200217,28
Taipei and environs,2359,2,0,1,20,1,,,,,,,,,,,,,,20200217,28
Qinghai,603,0,0,0,18,0,,,,,,,,,,,,,,20200217,28
Macao SAR,66,0,0,0,10,0,,,,,,,,,,,,,,20200217,28
Xizang,344,0,0,0,1,0,,,,,,,,,,,,,,20200217,28
Total,142823,2051,1563,106,70635,1772,,,,,,,,,,,,,,20200217,28
WHO Region,Country/Territory/Area,"Confirmed* 
cases (new)","Total 
cases with 
travel 
history to 
China 
(new)","Total cases with    
possible or 
confirmed 
transmission 
outside of China† 
(new)","Total cases with 
site of 
transmission 
under 
investigation 
(new)","Total deaths 
(new)",,,,,,,,,,,,,,20200217,28
Western Pacific Region,Singapore,75 (3),22 (0),52 (3),1 (0),0 (0),,,,,,,,,,,,,,20200217,28
,Japan,59 (6),26 (0),33 (6),0 (0),1 (0),,,,,,,,,,,,,,20200217,28
,Republic of Korea,30 (1),13 (0),14‡ (1),3 (0),0 (0),,,,,,,,,,,,,,20200217,28
,Malaysia,22 (0),17 (0),4§ (0),1 (0),0 (0),,,,,,,,,,,,,,20200217,28
,Viet Nam,16 (0),8 (0),8 (0),0 (0),0 (0),,,,,,,,,,,,,,20200217,28
