0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,date,sitrep
Sweden,1 (0),1 (0),0 (0),0 (0),0 (0),0 (0),,,,,,,,,,,,,,,,20200219,30
Eastern Mediterranean Region,,,,,,,,,,,,,,,,,,,,,,20200219,30
"United Arab 
9 (0) 
6 (0) 
0 (0) 
2 (0) 
1 (0) 
0 (0) 
Emirates",,,,,,,,,,,,,,,,,,,,,,20200219,30
"Egypt 
1 (0) 
0 (0) 
0 (0) 
1 (0) 
0 (0) 
0 (0)",,,,,,,,,,,,,,,,,,,,,,20200219,30
Other,,,,,,,,,,,,,,,,,,,,,,20200219,30
"International 
542 (88) 
0 (0) 
0 (0) 
0 (0) 
542 (88) 
0 (0) 
conveyance‡ 
(Diamond Princess)",,,,,,,,,,,,,,,,,,,,,,20200219,30
,,,,,,,,,,,,,,,,,,,,,,20200219,30
,,,,,,,,,,,,,,,,,,,,,,20200219,30
,,,,,,,,,,,,,,,,,,,,,,20200219,30
,,,,,,,,,,,,,,,,,,,,,,20200219,30
,,,,,,,,,,,,,,,,,,,,,,20200219,30
,,,,,,,,,,,,,,,,,,,,,,20200219,30
