0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,date,sitrep
"Reporting Country/ 
Territory/Area†",,"Total 
confirmed 
new cases","Total 
deaths","Total 
new 
deaths","Transmission 
classification§","Days since last 
reported case",,,,,,,,,,,20200403,74
Western Pacific Region,,,,,,,,,,,,,,,,,20200403,74
China,82802,78,3331,4,Local transmission,0,,,,,,,,,,,20200403,74
Republic of Korea,10062,86,174,5,Local transmission,0,,,,,,,,,,,20200403,74
Australia,5224,248,23,2,Local transmission,0,,,,,,,,,,,20200403,74
Malaysia,3116,208,50,5,Local transmission,0,,,,,,,,,,,20200403,74
Philippines,2633,322,107,11,Local transmission,0,,,,,,,,,,,20200403,74
Japan,2617,233,65,8,Local transmission,0,,,,,,,,,,,20200403,74
Singapore,1049,49,4,1,Local transmission,0,,,,,,,,,,,20200403,74
New Zealand,774,51,1,0,Local transmission,0,,,,,,,,,,,20200403,74
Viet Nam,233,15,0,0,Local transmission,0,,,,,,,,,,,20200403,74
Brunei Darussalam,133,2,1,0,Local transmission,0,,,,,,,,,,,20200403,74
Cambodia,110,1,0,0,Local transmission,0,,,,,,,,,,,20200403,74
French Polynesia,37,0,0,0,Local transmission,2,,,,,,,,,,,20200403,74
Mongolia,14,0,0,0,Imported cases only,1,,,,,,,,,,,20200403,74
"Lao People's 
Democratic Republic",10,0,0,0,Local transmission,1,,,,,,,,,,,20200403,74
Fiji,7,2,0,0,Local transmission,0,,,,,,,,,,,20200403,74
Papua New Guinea,1,0,0,0,Imported cases only,13,,,,,,,,,,,20200403,74
Territories**,,,,,,,,,,,,,,,,,20200403,74
Guam,82,5,3,0,Local transmission,0,,,,,,,,,,,20200403,74
New Caledonia,18,2,0,0,Local transmission,0,,,,,,,,,,,20200403,74
"Northern Mariana 
Islands 
(Commonwealth of 
the)",8,2,1,1,Local transmission,0,,,,,,,,,,,20200403,74
European Region,,,,,,,,,,,,,,,,,20200403,74
Italy,115242,4668,13917,760,Local transmission,0,,,,,,,,,,,20200403,74
Spain,110238,8102,10003,950,Local transmission,0,,,,,,,,,,,20200403,74
Germany,79696,6174,1017,145,Local transmission,0,,,,,,,,,,,20200403,74
France,58327,2066,4490,471,Local transmission,0,,,,,,,,,,,20200403,74
The United Kingdom,33722,4244,2921,389,Local transmission,0,,,,,,,,,,,20200403,74
Switzerland,18844,1774,536,158,Local transmission,0,,,,,,,,,,,20200403,74
Turkey,18135,2456,356,79,Local transmission,0,,,,,,,,,,,20200403,74
Belgium,15348,1384,1011,183,Local transmission,0,,,,,,,,,,,20200403,74
Netherlands,14697,1083,1339,166,Local transmission,0,,,,,,,,,,,20200403,74
Austria,11129,418,158,12,Local transmission,0,,,,,,,,,,,20200403,74
Portugal,9034,783,209,22,Local transmission,0,,,,,,,,,,,20200403,74
Israel,6211,620,29,8,Local transmission,0,,,,,,,,,,,20200403,74
Sweden,5466,519,282,43,Local transmission,0,,,,,,,,,,,20200403,74
Norway,4935,270,42,10,Local transmission,0,,,,,,,,,,,20200403,74
Czechia,3858,269,44,5,Local transmission,0,,,,,,,,,,,20200403,74
Ireland,3849,402,98,13,Local transmission,0,,,,,,,,,,,20200403,74
Russian Federation,3548,771,30,6,Local transmission,0,,,,,,,,,,,20200403,74
Denmark,3386,279,123,19,Local transmission,0,,,,,,,,,,,20200403,74
Poland,2946,392,57,14,Local transmission,0,,,,,,,,,,,20200403,74
Romania,2738,278,94,9,Local transmission,0,,,,,,,,,,,20200403,74
Luxembourg,2487,168,30,1,Local transmission,0,,,,,,,,,,,20200403,74
Finland,1518,72,19,2,Local transmission,0,,,,,,,,,,,20200403,74
Greece,1514,139,53,3,Local transmission,0,,,,,,,,,,,20200403,74
Iceland,1319,99,4,2,Local transmission,0,,,,,,,,,,,20200403,74
Serbia,1171,111,13,0,Local transmission,0,,,,,,,,,,,20200403,74
Croatia,1011,48,7,1,Local transmission,0,,,,,,,,,,,20200403,74
Ukraine,987,183,23,3,Local transmission,0,,,,,,,,,,,20200403,74
Republic of Moldova,591,168,8,3,Local transmission,0,,,,,,,,,,,20200403,74
Slovenia,897,56,16,1,Local transmission,0,,,,,,,,,,,20200403,74
Estonia,858,79,11,6,Local transmission,0,,,,,,,,,,,20200403,74
Lithuania,649,68,9,1,Local transmission,0,,,,,,,,,,,20200403,74
Armenia,640,69,4,1,Local transmission,0,,,,,,,,,,,20200403,74
Hungary,585,60,21,1,Local transmission,0,,,,,,,,,,,20200403,74
"Bosnia and 
Herzegovina",521,57,16,3,Local transmission,0,,,,,,,,,,,20200403,74
Latvia,458,12,0,0,Local transmission,0,,,,,,,,,,,20200403,74
Bulgaria,457,35,10,0,Local transmission,0,,,,,,,,,,,20200403,74
Kazakhstan,435,49,3,0,Local transmission,0,,,,,,,,,,,20200403,74
Andorra,429,33,15,2,Local transmission,0,,,,,,,,,,,20200403,74
Slovakia,426,26,0,0,Local transmission,0,,,,,,,,,,,20200403,74
Azerbaijan,400,41,5,0,Local transmission,0,,,,,,,,,,,20200403,74
North Macedonia,384,30,11,0,Local transmission,0,,,,,,,,,,,20200403,74
Cyprus,356,36,9,0,Local transmission,0,,,,,,,,,,,20200403,74
Albania,277,0,16,1,Local transmission,1,,,,,,,,,,,20200403,74
Belarus,254,62,4,2,Local transmission,0,,,,,,,,,,,20200403,74
San Marino,245,9,30,2,Local transmission,0,,,,,,,,,,,20200403,74
Uzbekistan,221,31,2,0,Local transmission,0,,,,,,,,,,,20200403,74
