0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,date,sitrep
Territories**,,,,,,,,,,,,,,,,,,,,,,,20200317,57
Faroe Islands,47,36,0,0,Imported cases only,0,,,,,,,,,,,,,,,,,20200317,57
Gibraltar,3,2,0,0,Under investigation,0,,,,,,,,,,,,,,,,,20200317,57
Jersey,2,0,0,0,Imported cases only,4,,,,,,,,,,,,,,,,,20200317,57
Guernsey,1,0,0,0,Imported cases only,7,,,,,,,,,,,,,,,,,20200317,57
South-East Asia Region,,,,,,,,,,,,,,,,,,,,,,,20200317,57
Indonesia,172,55,5,1,Local transmission,0,,,,,,,,,,,,,,,,,20200317,57
Thailand,147,33,1,0,Local transmission,0,,,,,,,,,,,,,,,,,20200317,57
India,137,23,3,1,Local transmission,0,,,,,,,,,,,,,,,,,20200317,57
Sri Lanka,29,10,0,0,Local transmission,0,,,,,,,,,,,,,,,,,20200317,57
Maldives,13,0,0,0,Local transmission,1,,,,,,,,,,,,,,,,,20200317,57
Bangladesh,8,3,0,0,Local transmission,0,,,,,,,,,,,,,,,,,20200317,57
Bhutan,1,0,0,0,Imported cases only,11,,,,,,,,,,,,,,,,,20200317,57
Nepal,1,0,0,0,Imported cases only,53,,,,,,,,,,,,,,,,,20200317,57
Eastern Mediterranean Region,,,,,,,,,,,,,,,,,,,,,,,20200317,57
"Iran (Islamic Republic 
of)",14991,0,853,0,Local transmission,1,,,,,,,,,,,,,,,,,20200317,57
Qatar,439,38,0,0,Local transmission,0,,,,,,,,,,,,,,,,,20200317,57
Bahrain,229,8,1,0,Local transmission,0,,,,,,,,,,,,,,,,,20200317,57
Pakistan,187,135,0,0,Imported cases only,0,,,,,,,,,,,,,,,,,20200317,57
Egypt,166,40,4,2,Local transmission,0,,,,,,,,,,,,,,,,,20200317,57
Saudi Arabia,133,30,0,0,Local transmission,0,,,,,,,,,,,,,,,,,20200317,57
Kuwait,130,18,0,0,Local transmission,0,,,,,,,,,,,,,,,,,20200317,57
Iraq,124,0,9,0,Local transmission,1,,,,,,,,,,,,,,,,,20200317,57
Lebanon,109,10,3,0,Local transmission,0,,,,,,,,,,,,,,,,,20200317,57
United Arab Emirates,98,0,0,0,Local transmission,1,,,,,,,,,,,,,,,,,20200317,57
Morocco,38,10,2,1,Local transmission,0,,,,,,,,,,,,,,,,,20200317,57
Jordan,35,29,0,0,Imported cases only,0,,,,,,,,,,,,,,,,,20200317,57
Oman,24,2,0,0,Imported cases only,0,,,,,,,,,,,,,,,,,20200317,57
Afghanistan,21,5,0,0,Imported cases only,0,,,,,,,,,,,,,,,,,20200317,57
Tunisia,20,2,0,0,Local transmission,0,,,,,,,,,,,,,,,,,20200317,57
Sudan,1,0,1,0,Imported cases only,2,,,,,,,,,,,,,,,,,20200317,57
"Somalia 
1 
1 
0 
0 
Imported cases only 
0",,,,,,,,,,,,,,,,,,,,,,,20200317,57
Territories**,,,,,,,,,,,,,,,,,,,,,,,20200317,57
"occupied Palestinian 
39 
1 
0 
0 
Local transmission 
0 
Territory",,,,,,,,,,,,,,,,,,,,,,,20200317,57
Region of the Americas,,,,,,,,,,,,,,,,,,,,,,,20200317,57
"United States of 
America",3503,1825,58,17,Local transmission,0,,,,,,,,,,,,,,,,,20200317,57
Canada,424,120,1,0,Local transmission,0,,,,,,,,,,,,,,,,,20200317,57
Brazil,234,34,0,0,Local transmission,0,,,,,,,,,,,,,,,,,20200317,57
Chile,156,81,0,0,Local transmission,0,,,,,,,,,,,,,,,,,20200317,57
Peru,86,15,0,0,Local transmission,0,,,,,,,,,,,,,,,,,20200317,57
Panama,69,26,1,0,Local transmission,0,,,,,,,,,,,,,,,,,20200317,57
Argentina,65,9,2,0,Local transmission,0,,,,,,,,,,,,,,,,,20200317,57
Ecuador,58,21,2,0,Local transmission,0,,,,,,,,,,,,,,,,,20200317,57
Mexico,53,0,0,0,Imported cases only,1,,,,,,,,,,,,,,,,,20200317,57
Colombia,45,21,0,0,Local transmission,0,,,,,,,,,,,,,,,,,20200317,57
Costa Rica,41,18,0,0,Local transmission,0,,,,,,,,,,,,,,,,,20200317,57
"Venezuela (Bolivarian 
Republic of)",33,16,0,0,Imported cases only,0,,,,,,,,,,,,,,,,,20200317,57
Dominican Republic,21,16,1,1,Local transmission,0,,,,,,,,,,,,,,,,,20200317,57
"Bolivia (Plurinational 
State of)",11,0,0,0,Imported cases only,1,,,,,,,,,,,,,,,,,20200317,57
Jamaica,10,0,0,0,Local transmission,1,,,,,,,,,,,,,,,,,20200317,57
Paraguay,9,1,0,0,Local transmission,0,,,,,,,,,,,,,,,,,20200317,57
Honduras,8,6,0,0,Imported cases only,0,,,,,,,,,,,,,,,,,20200317,57
Uruguay,6,2,0,0,Imported cases only,0,,,,,,,,,,,,,,,,,20200317,57
Cuba,5,1,0,0,Imported cases only,0,,,,,,,,,,,,,,,,,20200317,57
Trinidad and Tobago,5,3,0,0,Imported cases only,0,,,,,,,,,,,,,,,,,20200317,57
Guyana,4,0,1,0,Local transmission,1,,,,,,,,,,,,,,,,,20200317,57
Saint Lucia,2,0,0,0,Imported cases only,1,,,,,,,,,,,,,,,,,20200317,57
Antigua and Barbuda,1,0,0,0,Imported cases only,3,,,,,,,,,,,,,,,,,20200317,57
Bahamas,1,1,0,0,Local transmission,0,,,,,,,,,,,,,,,,,20200317,57
