0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,date,sitrep
"Total 
Total 
Total 
Days since last 
Reporting Country/ 
Total 
Transmission 
confirmed
confirmed 
new 
reported case 
Territory/Area† 
deaths 
classification§ 
‡ cases 
new cases 
deaths",,,,,,,,,,,,,,,20200325,65
Western Pacific Region,,,,,,,,,,,,,,,20200325,65
China,81848,101,3287,4,Local transmission,0,,,,,,,,,20200325,65
Republic of Korea,9137,100,126,6,Local transmission,0,,,,,,,,,20200325,65
Australia,2252,543,8,1,Local transmission,0,,,,,,,,,20200325,65
Malaysia,1624,106,16,2,Local transmission,0,,,,,,,,,20200325,65
Japan,1193,65,43,1,Local transmission,0,,,,,,,,,20200325,65
Singapore,558,51,2,0,Local transmission,0,,,,,,,,,20200325,65
Philippines,552,90,35,2,Local transmission,0,,,,,,,,,20200325,65
New Zealand,189,87,0,0,Local transmission,0,,,,,,,,,20200325,65
Viet Nam,134,11,0,0,Local transmission,0,,,,,,,,,20200325,65
Brunei Darussalam,104,13,0,0,Local transmission,0,,,,,,,,,20200325,65
Cambodia,91,4,0,0,Local transmission,0,,,,,,,,,20200325,65
Mongolia,10,0,0,0,Imported cases only,3,,,,,,,,,20200325,65
Fiji,4,1,0,0,Local transmission,0,,,,,,,,,20200325,65
"Lao People's 
Democratic Republic",2,2,0,0,Under investigation,0,,,,,,,,,20200325,65
Papua New Guinea,1,0,0,0,Imported cases only,4,,,,,,,,,20200325,65
Territories**,,,,,,,,,,,,,,,20200325,65
"Guam 
32 
3 
1 
0 
Local transmission 
0",,,,,,,,,,,,,,,20200325,65
"French Polynesia 
25 
7 
0 
0 
Local transmission 
0",,,,,,,,,,,,,,,20200325,65
"New Caledonia 
10 
2 
0 
0 
Local transmission 
0",,,,,,,,,,,,,,,20200325,65
European Region,,,,,,,,,,,,,,,20200325,65
Italy,69176,5249,6820,743,Local transmission,0,,,,,,,,,20200325,65
Spain,39673,6584,2696,514,Local transmission,0,,,,,,,,,20200325,65
Germany,31554,2342,149,23,Local transmission,0,,,,,,,,,20200325,65
France,22025,2410,1100,240,Local transmission,0,,,,,,,,,20200325,65
Switzerland,8789,774,86,20,Local transmission,0,,,,,,,,,20200325,65
The United Kingdom,8081,1427,422,87,Local transmission,0,,,,,,,,,20200325,65
Netherlands,5560,811,276,63,Local transmission,0,,,,,,,,,20200325,65
Austria,5282,796,30,5,Local transmission,0,,,,,,,,,20200325,65
Belgium,4269,526,122,34,Local transmission,0,,,,,,,,,20200325,65
Norway,2566,195,10,2,Local transmission,0,,,,,,,,,20200325,65
Portugal,2362,302,33,10,Local transmission,0,,,,,,,,,20200325,65
Sweden,2272,256,36,11,Local transmission,0,,,,,,,,,20200325,65
Israel,2170,932,5,4,Local transmission,0,,,,,,,,,20200325,65
Turkey,1872,343,44,7,Local transmission,0,,,,,,,,,20200325,65
Denmark,1591,131,32,8,Local transmission,0,,,,,,,,,20200325,65
Czechia,1394,158,3,2,Local transmission,0,,,,,,,,,20200325,65
Ireland,1329,204,7,1,Local transmission,0,,,,,,,,,20200325,65
Luxembourg,1099,224,8,0,Local transmission,0,,,,,,,,,20200325,65
Poland,901,152,10,2,Local transmission,0,,,,,,,,,20200325,65
Finland,792,92,1,0,Local transmission,0,,,,,,,,,20200325,65
Romania,762,186,11,4,Local transmission,0,,,,,,,,,20200325,65
Greece,743,48,20,3,Local transmission,0,,,,,,,,,20200325,65
Russian Federation,658,220,0,0,Local transmission,0,,,,,,,,,20200325,65
Iceland,648,60,2,0,Local transmission,0,,,,,,,,,20200325,65
Slovenia,480,38,3,2,Local transmission,0,,,,,,,,,20200325,65
Croatia,382,76,1,1,Local transmission,0,,,,,,,,,20200325,65
Estonia,369,17,0,0,Local transmission,0,,,,,,,,,20200325,65
Serbia,303,54,3,1,Local transmission,0,,,,,,,,,20200325,65
Armenia,265,30,0,0,Local transmission,0,,,,,,,,,20200325,65
Hungary,226,39,10,2,Local transmission,0,,,,,,,,,20200325,65
Bulgaria,220,19,3,0,Local transmission,0,,,,,,,,,20200325,65
Lithuania,209,30,2,1,Local transmission,0,,,,,,,,,20200325,65
Slovakia,204,13,0,0,Local transmission,0,,,,,,,,,20200325,65
Latvia,197,17,0,0,Local transmission,0,,,,,,,,,20200325,65
Andorra,188,24,1,0,Local transmission,0,,,,,,,,,20200325,65
San Marino,187,0,21,1,Local transmission,1,,,,,,,,,20200325,65
"Bosnia and 
Herzegovina",164,33,2,1,Local transmission,0,,,,,,,,,20200325,65
North Macedonia,148,12,2,0,Local transmission,0,,,,,,,,,20200325,65
Albania,146,23,5,1,Local transmission,0,,,,,,,,,20200325,65
Republic of Moldova,125,16,1,0,Local transmission,0,,,,,,,,,20200325,65
Cyprus,124,8,3,3,Local transmission,0,,,,,,,,,20200325,65
Malta,120,13,0,0,Local transmission,0,,,,,,,,,20200325,65
Ukraine,113,29,4,1,Local transmission,0,,,,,,,,,20200325,65
Azerbaijan,87,15,1,0,Local transmission,0,,,,,,,,,20200325,65
Belarus,81,0,0,0,Local transmission,1,,,,,,,,,20200325,65
Kazakhstan,79,16,0,0,Imported cases only,0,,,,,,,,,20200325,65
Georgia,73,6,0,0,Local transmission,0,,,,,,,,,20200325,65
Uzbekistan,50,4,0,0,Local transmission,0,,,,,,,,,20200325,65
Liechtenstein,47,1,0,0,Imported cases only,0,,,,,,,,,20200325,65
Kyrgyzstan,42,26,0,0,Local transmission,0,,,,,,,,,20200325,65
Montenegro,29,7,0,0,Imported cases only,0,,,,,,,,,20200325,65
Monaco,23,0,0,0,Local transmission,2,,,,,,,,,20200325,65
Holy See,1,0,0,0,Under investigation,18,,,,,,,,,20200325,65
Territories**,,,,,,,,,,,,,,,20200325,65
Faroe Islands,122,4,0,0,Local transmission,0,,,,,,,,,20200325,65
Kosovo[1],63,2,1,0,Local transmission,0,,,,,,,,,20200325,65
Guernsey,23,3,0,0,Local transmission,0,,,,,,,,,20200325,65
Isle of Man,23,10,0,0,Imported cases only,0,,,,,,,,,20200325,65
Jersey,16,0,0,0,Local transmission,1,,,,,,,,,20200325,65
Gibraltar,15,0,0,0,Local transmission,2,,,,,,,,,20200325,65
Greenland,4,0,0,0,Under investigation,1,,,,,,,,,20200325,65
South-East Asia Region,,,,,,,,,,,,,,,20200325,65
Thailand,934,107,4,0,Local transmission,0,,,,,,,,,20200325,65
Indonesia,686,107,55,6,Local transmission,0,,,,,,,,,20200325,65
India,562,128,9,0,Local transmission,0,,,,,,,,,20200325,65
Sri Lanka,102,5,0,0,Local transmission,0,,,,,,,,,20200325,65
Bangladesh,39,6,4,1,Local transmission,0,,,,,,,,,20200325,65
Maldives,13,0,0,0,Local transmission,9,,,,,,,,,20200325,65
Myanmar,3,1,0,0,Imported cases only,0,,,,,,,,,20200325,65
Bhutan,2,0,0,0,Imported cases only,5,,,,,,,,,20200325,65
Nepal,2,0,0,0,Imported cases only,1,,,,,,,,,20200325,65
Timor-Leste,1,0,0,0,Imported cases only,4,,,,,,,,,20200325,65
Eastern Mediterranean Region,,,,,,,,,,,,,,,20200325,65
"Iran (Islamic Republic 
of)",24811,1762,1934,122,Local transmission,0,,,,,,,,,20200325,65
Pakistan,991,104,7,1,Local transmission,0,,,,,,,,,20200325,65
Saudi Arabia,767,205,1,1,Local transmission,0,,,,,,,,,20200325,65
Qatar,526,25,0,0,Local transmission,0,,,,,,,,,20200325,65
Egypt,402,36,20,1,Local transmission,0,,,,,,,,,20200325,65
Bahrain,392,15,3,1,Local transmission,0,,,,,,,,,20200325,65
Iraq,316,50,27,4,Local transmission,0,,,,,,,,,20200325,65
