0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,date,sitrep
"Province/  
Region/  
City","Population 
(10,000s)",Daily,,,Cumulative,,,,,,,,,,,,,,,,,20200221,32
,,"Confirmed 
cases","Suspected 
cases",Deaths,"Confirmed 
cases",Deaths,,,,,,,,,,,,,,,,20200221,32
Hubei,5917,631,1279,115,62662,2144,,,,,,,,,,,,,,,,20200221,32
Guangdong,11346,1,1,0,1333,5,,,,,,,,,,,,,,,,20200221,32
Henan,9605,2,31,0,1267,19,,,,,,,,,,,,,,,,20200221,32
Zhejiang,5737,28,4,1,1203,1,,,,,,,,,,,,,,,,20200221,32
Hunan,6899,1,5,0,1011,4,,,,,,,,,,,,,,,,20200221,32
Anhui,6324,1,1,0,988,6,,,,,,,,,,,,,,,,20200221,32
Jiangxi,4648,0,0,0,934,1,,,,,,,,,,,,,,,,20200221,32
Shandong,10047,202,14,0,748,4,,,,,,,,,,,,,,,,20200221,32
Jiangsu,8051,0,1,0,631,0,,,,,,,,,,,,,,,,20200221,32
Chongqing,3102,7,28,1,567,6,,,,,,,,,,,,,,,,20200221,32
Sichuan,8341,5,15,0,525,3,,,,,,,,,,,,,,,,20200221,32
Heilongjiang,3773,3,1,0,479,12,,,,,,,,,,,,,,,,20200221,32
Beijing,2154,1,41,0,396,4,,,,,,,,,,,,,,,,20200221,32
Shanghai,2424,1,62,0,334,2,,,,,,,,,,,,,,,,20200221,32
Hebei,7556,1,0,0,308,5,,,,,,,,,,,,,,,,20200221,32
Fujian,3941,0,0,0,293,1,,,,,,,,,,,,,,,,20200221,32
Guangxi,4926,1,15,0,246,2,,,,,,,,,,,,,,,,20200221,32
Shaanxi,3864,0,8,0,245,1,,,,,,,,,,,,,,,,20200221,32
Yunnan,4830,2,21,1,174,2,,,,,,,,,,,,,,,,20200221,32
Hainan,934,0,16,0,168,4,,,,,,,,,,,,,,,,20200221,32
Guizhou,3600,0,3,0,146,2,,,,,,,,,,,,,,,,20200221,32
Shanxi,3718,1,5,0,132,0,,,,,,,,,,,,,,,,20200221,32
Tianjin,1560,1,37,0,131,3,,,,,,,,,,,,,,,,20200221,32
Liaoning,4359,0,20,0,121,1,,,,,,,,,,,,,,,,20200221,32
Jilin,2704,0,4,0,91,1,,,,,,,,,,,,,,,,20200221,32
Gansu,2637,0,1,0,91,2,,,,,,,,,,,,,,,,20200221,32
Xinjiang,2487,0,0,0,76,1,,,,,,,,,,,,,,,,20200221,32
Inner Mongolia,2534,0,0,0,75,0,,,,,,,,,,,,,,,,20200221,32
Ningxia,688,0,1,0,71,0,,,,,,,,,,,,,,,,20200221,32
Hong Kong SAR,745,3,0,0,68,2,,,,,,,,,,,,,,,,20200221,32
Taipei and environs,2359,2,0,0,26,1,,,,,,,,,,,,,,,,20200221,32
Qinghai,603,0,0,0,18,0,,,,,,,,,,,,,,,,20200221,32
Macao SAR,66,0,0,0,10,0,,,,,,,,,,,,,,,,20200221,32
Xizang,344,0,0,0,1,0,,,,,,,,,,,,,,,,20200221,32
Total,142823,894,1614,118,75569,2239,,,,,,,,,,,,,,,,20200221,32
Country/Territory/Area,"Confirmed* 
cases (new)",Likely place of exposure†,,,"Total cases with site of 
transmission under 
investigation (new)","Total 
deaths 
(new)",,,,,,,,,,,,,,,,20200221,32
,,"China 
(new)","Outside 
reporting 
country and 
outside 
China (new)","In 
reporting 
country 
(new)",,,,,,,,,,,,,,,,,,20200221,32
Western Pacific Region,,,,,,,,,,,,,,,,,,,,,,20200221,32
Republic of Korea,204 (100),13 (0),4 (0),158 (86),29 (14),1 (0),,,,,,,,,,,,,,,,20200221,32
Japan,93 (8),27 (0),5 (2),57 (5),4 (1),1 (0),,,,,,,,,,,,,,,,20200221,32
Singapore,85 (1),23 (0),0 (0),55 (1),7 (0),0 (0),,,,,,,,,,,,,,,,20200221,32
Malaysia,22 (0),17 (0),1 (0),2 (0),2 (0),0 (0),,,,,,,,,,,,,,,,20200221,32
Australia,17 (2),12 (0),2 (2),3 (0),0 (0),0 (0),,,,,,,,,,,,,,,,20200221,32
Viet Nam,16 (0),8 (0),0 (0),8 (0),0 (0),0 (0),,,,,,,,,,,,,,,,20200221,32
Philippines,3 (0),3 (0),0 (0),0 (0),0 (0),1 (0),,,,,,,,,,,,,,,,20200221,32
Cambodia,1 (0),1 (0),0 (0),0 (0),0 (0),0 (0),,,,,,,,,,,,,,,,20200221,32
South-East Asia Region,,,,,,,,,,,,,,,,,,,,,,20200221,32
Thailand,35 (0),23 (0),0 (0),5 (0),7 (0),0 (0),,,,,,,,,,,,,,,,20200221,32
India,3 (0),3 (0),0 (0),0 (0),0 (0),0 (0),,,,,,,,,,,,,,,,20200221,32
Nepal,1 (0),1 (0),0 (0),0 (0),0 (0),0 (0),,,,,,,,,,,,,,,,20200221,32
Sri Lanka,1 (0),1 (0),0 (0),0 (0),0 (0),0 (0),,,,,,,,,,,,,,,,20200221,32
Region of the Americas,,,,,,,,,,,,,,,,,,,,,,20200221,32
"United States of 
15 (0) 
13 (0) 
0 (0) 
2 (0) 
0 (0) 
0 (0) 
America",,,,,,,,,,,,,,,,,,,,,,20200221,32
"Canada 
8 (0) 
7 (0) 
0 (0) 
0 (0) 
1 (0) 
0 (0)",,,,,,,,,,,,,,,,,,,,,,20200221,32
European Region,,,,,,,,,,,,,,,,,,,,,,20200221,32
Germany,16 (0),2 (0),0 (0),14 (0),0 (0),0 (0),,,,,,,,,,,,,,,,20200221,32
France,12 (0),5 (0),0 (0),7 (0),0 (0),1 (0),,,,,,,,,,,,,,,,20200221,32
The United Kingdom,9 (0),2 (0),6 (0),1 (0),0 (0),0 (0),,,,,,,,,,,,,,,,20200221,32
Italy,3 (0),3 (0),0 (0),0 (0),0 (0),0 (0),,,,,,,,,,,,,,,,20200221,32
Russian Federation,2 (0),2 (0),0 (0),0 (0),0 (0),0 (0),,,,,,,,,,,,,,,,20200221,32
Spain,2 (0),0 (0),2 (0),0 (0),0 (0),0 (0),,,,,,,,,,,,,,,,20200221,32
Belgium,1 (0),1 (0),0 (0),0 (0),0 (0),0 (0),,,,,,,,,,,,,,,,20200221,32
Finland,1 (0),1 (0),0 (0),0 (0),0 (0),0 (0),,,,,,,,,,,,,,,,20200221,32
Sweden,1 (0),1 (0),0 (0),0 (0),0 (0),0 (0),,,,,,,,,,,,,,,,20200221,32
Eastern Mediterranean Region,,,,,,,,,,,,,,,,,,,,,,20200221,32
"United Arab Emirates 
9 (0) 
6 (0) 
0 (0) 
2 (0) 
1 (0) 
0 (0)",,,,,,,,,,,,,,,,,,,,,,20200221,32
"Iran (Islamic Republic of) 
5 (3) 
0 (0) 
0 (0) 
5 (3) 
0 (0) 
2 (0)",,,,,,,,,,,,,,,,,,,,,,20200221,32
"Egypt 
1 (0) 
0 (0) 
0 (0) 
1 (0) 
0 (0) 
0 (0)",,,,,,,,,,,,,,,,,,,,,,20200221,32
,,,,,,,,,,,,,,,,,,,,,,20200221,32
Subtotal for all regions,566 (114),175 (0),20 (4),320 (95),51 (15),6 (0),,,,,,,,,,,,,,,,20200221,32
"International 
conveyance‡ (Diamond 
Princess)",634 (13),0 (0),0 (0),0 (0),634 (13),2 (0),,,,,,,,,,,,,,,,20200221,32
Grand total,1200 (127),175 (0),20 (4),320 (95),685 (28),8 (0),,,,,,,,,,,,,,,,20200221,32
,,,,,,,,,,,,,,,,,,,,,,20200221,32
,,,,,,,,,,,,,,,,,,,,,,20200221,32
,,,,,,,,,,,,,,,,,,,,,,20200221,32
,,,,,,,,,,,,,,,,,,,,,,20200221,32
,,,,,,,,,,,,,,,,,,,,,,20200221,32
,,,,,,,,,,,,,,,,,,,,,,20200221,32
