0,1,2,3,4,5,6,7,8,9,10,11,12,date,sitrep
"WHO Regional 
Office",Country/Territory/Area,"Confirmed 
(new) 
cases","Total (new) 
cases with 
travel history 
to China","Total (new) cases 
with possible or 
confirmed 
transmission 
outside of China","Total (new) cases 
with site of 
transmission 
under 
investigation","Total (new) 
deaths",,,,,,,20200203,14
Western Pacific,China*,"17238 
(2831)",,,,361 (57),,,,,,,20200203,14
,Japan,20,17,3,0,0,,,,,,,20200203,14
,Republic of Korea,15,8,4,3,0,,,,,,,20200203,14
,Viet Nam,8 (1),6 (1),2,0,0,,,,,,,20200203,14
,Singapore,18,18,0,0,0,,,,,,,20200203,14
,Australia,12,12,0,0,0,,,,,,,20200203,14
,Malaysia,8,7,1,0,0,,,,,,,20200203,14
,Cambodia,1,1,0,0,0,,,,,,,20200203,14
,Philippines,2,1,0,1,1,,,,,,,20200203,14
South-East Asia,Thailand,19,18,1,0,0,,,,,,,20200203,14
,Nepal,1,1,0,0,0,,,,,,,20200203,14
,Sri Lanka,1,1,0,0,0,,,,,,,20200203,14
,India,3 (1),3(1),0,0,0,,,,,,,20200203,14
"Region of the 
Americas","United States of 
America",11 (3),8(1),2(1),(1),0,,,,,,,20200203,14
,Canada,4,3,0,1,0,,,,,,,20200203,14
European Region,France,6,5,1,0,0,,,,,,,20200203,14
,Finland,1,1,0,0,0,,,,,,,20200203,14
,Germany,10 (2),2 (2),8,0,0,,,,,,,20200203,14
,Italy,2,2,0,0,0,,,,,,,20200203,14
,Russian Federation,2,2,0,0,0,,,,,,,20200203,14
,Spain,1,0,1,0,0,,,,,,,20200203,14
,Sweden,1,1,0,0,0,,,,,,,20200203,14
,United Kingdom,2,1,1,0,0,,,,,,,20200203,14
"Eastern 
Mediterranean",United Arab Emirates,5,5,0,0,0,,,,,,,20200203,14
"Total Confirmed 
cases",Total,"17391 
(2838)",123 (5),24 (1),6 (1),362 (57),,,,,,,20200203,14
,,,,,,,,,,,,,20200203,14
,,,,,,,,,,,,,20200203,14
,,,,,,,,,,,,,20200203,14
,,,,,,,,,,,,,20200203,14
,,,,,,,,,,,,,20200203,14
,,,,,,,,,,,,,20200203,14
