0,1,2,3,4,5,6,7,8,9,10,11,12,13,date,sitrep
"Province/  
Region/  
City","Population 
(10,000s)",In last 24 hours,,,Cumulative,,,,,,,,,20200311,51
,,"Confirmed 
cases","Suspected 
cases",Deaths,"Confirmed 
cases",Deaths,,,,,,,,20200311,51
Hubei,5917,13,6,22,67773,3046,,,,,,,,20200311,51
Guangdong,11346,0,1,0,1353,8,,,,,,,,20200311,51
Henan,9605,0,0,0,1272,22,,,,,,,,20200311,51
Zhejiang,5737,0,0,0,1215,1,,,,,,,,20200311,51
Hunan,6899,0,0,0,1018,4,,,,,,,,20200311,51
Anhui,6324,0,0,0,990,6,,,,,,,,20200311,51
Jiangxi,4648,0,0,0,935,1,,,,,,,,20200311,51
Shandong,10047,1,0,0,759,6,,,,,,,,20200311,51
Jiangsu,8051,0,0,0,631,0,,,,,,,,20200311,51
Chongqing,3102,0,0,0,576,6,,,,,,,,20200311,51
Sichuan,8341,0,0,0,539,3,,,,,,,,20200311,51
Heilongjiang,3773,1,0,0,482,13,,,,,,,,20200311,51
Beijing,2154,6,2,0,435,8,,,,,,,,20200311,51
Shanghai,2424,2,18,0,344,3,,,,,,,,20200311,51
Hebei,7556,0,0,0,318,6,,,,,,,,20200311,51
Fujian,3941,0,0,0,296,1,,,,,,,,20200311,51
Guangxi,4926,0,0,0,252,2,,,,,,,,20200311,51
Shaanxi,3864,0,0,0,245,1,,,,,,,,20200311,51
Yunnan,4830,0,1,0,174,2,,,,,,,,20200311,51
Hainan,934,0,0,0,168,6,,,,,,,,20200311,51
Guizhou,3600,0,0,0,146,2,,,,,,,,20200311,51
Tianjin,1560,0,2,0,136,3,,,,,,,,20200311,51
Shanxi,3718,0,0,0,133,0,,,,,,,,20200311,51
Liaoning,4359,0,1,0,125,1,,,,,,,,20200311,51
Gansu,2637,1,0,0,125,2,,,,,,,,20200311,51
Hong Kong SAR,745,5,0,0,120,3,,,,,,,,20200311,51
Jilin,2704,0,0,0,93,1,,,,,,,,20200311,51
Xinjiang,2487,0,0,0,76,3,,,,,,,,20200311,51
Ningxia,688,0,0,0,75,0,,,,,,,,20200311,51
Inner Mongolia,2534,0,0,0,75,1,,,,,,,,20200311,51
Taipei and environs,2359,2,0,0,47,1,,,,,,,,20200311,51
Qinghai,603,0,0,0,18,0,,,,,,,,20200311,51
Macao SAR,66,0,0,0,10,0,,,,,,,,20200311,51
Xizang,344,0,0,0,1,0,,,,,,,,20200311,51
Total,142823,31,31,22,80955,3162,,,,,,,,20200311,51
"Total 
Total 
Total 
Days since last 
Reporting Country/ 
Total 
Transmission 
confirmed‡ 
confirmed 
new 
reported case 
Territory/Area† 
deaths 
classification§ 
cases 
new cases 
deaths",,,,,,,,,,,,,,20200311,51
Western Pacific Region,,,,,,,,,,,,,,20200311,51
Republic of Korea,7755,242,60,6,Local transmission,0,,,,,,,,20200311,51
Japan,568,54,12,3,Local transmission,0,,,,,,,,20200311,51
Singapore,166,6,0,0,Local transmission,0,,,,,,,,20200311,51
Malaysia,129,12,0,0,Local transmission,0,,,,,,,,20200311,51
Australia,112,20,3,0,Local transmission,0,,,,,,,,20200311,51
