0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,date,sitrep
Saudi Arabia,1104,92,3,0,Local transmission,0,,,,,,,,,,20200328,68
Qatar,562,13,0,0,Local transmission,0,,,,,,,,,,20200328,68
Egypt,536,41,30,6,Local transmission,0,,,,,,,,,,20200328,68
Bahrain,473,15,4,0,Local transmission,0,,,,,,,,,,20200328,68
Iraq,458,76,40,4,Local transmission,0,,,,,,,,,,20200328,68
United Arab Emirates,405,72,2,0,Local transmission,0,,,,,,,,,,20200328,68
Lebanon,391,23,8,2,Local transmission,0,,,,,,,,,,20200328,68
Morocco,358,83,23,13,Local transmission,0,,,,,,,,,,20200328,68
Jordan,235,23,1,1,Local transmission,0,,,,,,,,,,20200328,68
Kuwait,235,27,0,0,Local transmission,0,,,,,,,,,,20200328,68
Tunisia,227,30,6,1,Local transmission,0,,,,,,,,,,20200328,68
Oman,152,43,0,0,Local transmission,0,,,,,,,,,,20200328,68
Afghanistan,106,26,2,0,Local transmission,0,,,,,,,,,,20200328,68
Djibouti,13,1,0,0,Local transmission,0,,,,,,,,,,20200328,68
Syrian Arab Republic,5,0,0,0,Imported cases only,2,,,,,,,,,,20200328,68
Somalia,3,0,0,0,Imported cases only,1,,,,,,,,,,20200328,68
Sudan,3,0,1,0,Imported cases only,3,,,,,,,,,,20200328,68
Libya,1,0,0,0,Imported cases only,3,,,,,,,,,,20200328,68
Territories**,,,,,,,,,,,,,,,,20200328,68
"occupied Palestinian 
territory 
97 
13 
1 
0 
Local transmission 
0",,,,,,,,,,,,,,,,20200328,68
Region of the Americas,,,,,,,,,,,,,,,,20200328,68
"United States of 
America",85228,16894,1243,252,Local transmission,0,,,,,,,,,,20200328,68
Canada,4018,463,39,4,Local transmission,0,,,,,,,,,,20200328,68
Brazil,2915,482,77,20,Local transmission,0,,,,,,,,,,20200328,68
Chile,1610,304,5,1,Local transmission,0,,,,,,,,,,20200328,68
Ecuador,1595,384,36,7,Local transmission,0,,,,,,,,,,20200328,68
Panama,674,116,9,1,Local transmission,0,,,,,,,,,,20200328,68
Argentina,589,87,12,4,Local transmission,0,,,,,,,,,,20200328,68
Mexico,589,111,8,3,Local transmission,0,,,,,,,,,,20200328,68
Dominican Republic,581,93,20,10,Local transmission,0,,,,,,,,,,20200328,68
Peru,580,0,9,0,Local transmission,1,,,,,,,,,,20200328,68
Colombia,491,21,6,2,Local transmission,0,,,,,,,,,,20200328,68
Uruguay,238,21,0,0,Local transmission,0,,,,,,,,,,20200328,68
Costa Rica,231,30,2,0,Local transmission,0,,,,,,,,,,20200328,68
"Venezuela (Bolivarian 
Republic of)",106,15,0,0,Local transmission,0,,,,,,,,,,20200328,68
Cuba,80,13,2,1,Local transmission,0,,,,,,,,,,20200328,68
Honduras,67,15,1,0,Local transmission,0,,,,,,,,,,20200328,68
Trinidad and Tobago,66,5,2,1,Local transmission,0,,,,,,,,,,20200328,68
"Bolivia (Plurinational 
State of)",61,22,0,0,Local transmission,0,,,,,,,,,,20200328,68
Paraguay,52,11,3,0,Local transmission,0,,,,,,,,,,20200328,68
Jamaica,26,0,1,0,Local transmission,2,,,,,,,,,,20200328,68
Guatemala,25,1,1,0,Local transmission,0,,,,,,,,,,20200328,68
Barbados,24,6,0,0,Local transmission,0,,,,,,,,,,20200328,68
El Salvador,13,0,0,0,Imported cases only,2,,,,,,,,,,20200328,68
Dominica,11,0,0,0,Local transmission,1,,,,,,,,,,20200328,68
Bahamas,9,4,0,0,Local transmission,0,,,,,,,,,,20200328,68
Haiti,8,0,0,0,Imported cases only,2,,,,,,,,,,20200328,68
Suriname,8,1,0,0,Imported cases only,0,,,,,,,,,,20200328,68
Antigua and Barbuda,7,4,0,0,Imported cases only,0,,,,,,,,,,20200328,68
Grenada,7,0,0,0,Local transmission,1,,,,,,,,,,20200328,68
Guyana,5,0,1,0,Local transmission,9,,,,,,,,,,20200328,68
Saint Lucia,3,0,0,0,Imported cases only,4,,,,,,,,,,20200328,68
Belize,2,0,0,0,Local transmission,2,,,,,,,,,,20200328,68
Nicaragua,2,0,1,1,Imported cases only,6,,,,,,,,,,20200328,68
Saint Kitts and Nevis,2,0,0,0,Imported cases only,2,,,,,,,,,,20200328,68
"Saint Vincent and the 
Grenadines",1,0,0,0,Imported cases only,15,,,,,,,,,,20200328,68
Territories**,,,,,,,,,,,,,,,,20200328,68
Guadeloupe,96,20,2,2,Imported cases only,0,,,,,,,,,,20200328,68
Martinique,93,27,1,0,Imported cases only,0,,,,,,,,,,20200328,68
Puerto Rico,64,0,2,0,Imported cases only,1,,,,,,,,,,20200328,68
French Guiana,31,3,0,0,Local transmission,0,,,,,,,,,,20200328,68
Aruba,28,9,0,0,Local transmission,0,,,,,,,,,,20200328,68
"United States Virgin 
Islands",17,0,0,0,Imported cases only,4,,,,,,,,,,20200328,68
Bermuda,15,8,0,0,Local transmission,0,,,,,,,,,,20200328,68
Saint Martin,12,1,0,0,Under investigation,0,,,,,,,,,,20200328,68
Cayman Islands,8,0,1,0,Imported cases only,2,,,,,,,,,,20200328,68
Curaçao,7,0,1,0,Imported cases only,1,,,,,,,,,,20200328,68
Montserrat,5,3,0,0,Imported cases only,0,,,,,,,,,,20200328,68
Saint Barthélemy,5,2,0,0,Under investigation,0,,,,,,,,,,20200328,68
Sint Maarten,3,1,0,0,Imported cases only,0,,,,,,,,,,20200328,68
Anguilla,2,0,0,0,Local transmission,1,,,,,,,,,,20200328,68
British Virgin Islands,2,0,0,0,Imported cases only,1,,,,,,,,,,20200328,68
"Turks and Caicos 
Islands",2,0,0,0,Imported cases only,1,,,,,,,,,,20200328,68
African Region,,,,,,,,,,,,,,,,20200328,68
South Africa,1170,243,2,2,Local transmission,0,,,,,,,,,,20200328,68
Algeria,367,62,25,4,Local transmission,0,,,,,,,,,,20200328,68
Burkina Faso,146,0,3,0,Local transmission,2,,,,,,,,,,20200328,68
Ghana,137,5,4,1,Local transmission,0,,,,,,,,,,20200328,68
Senegal,119,14,0,0,Local transmission,0,,,,,,,,,,20200328,68
Mauritius,96,15,2,0,Imported cases only,0,,,,,,,,,,20200328,68
Cote d’Ivoire,92,12,0,0,Imported cases only,0,,,,,,,,,,20200328,68
Cameroon,75,0,1,0,Local transmission,1,,,,,,,,,,20200328,68
Nigeria,65,0,1,0,Local transmission,1,,,,,,,,,,20200328,68
"Democratic Republic 
of the Congo",58,4,4,0,Local transmission,0,,,,,,,,,,20200328,68
Rwanda,54,4,0,0,Local transmission,0,,,,,,,,,,20200328,68
Madagascar,26,2,0,0,Imported cases only,0,,,,,,,,,,20200328,68
Kenya,25,0,1,0,Local transmission,3,,,,,,,,,,20200328,68
Togo,25,1,0,0,Imported cases only,0,,,,,,,,,,20200328,68
Congo,19,15,0,0,Imported cases only,0,,,,,,,,,,20200328,68
Ethiopia,16,4,0,0,Imported cases only,0,,,,,,,,,,20200328,68
Uganda,14,0,0,0,Imported cases only,2,,,,,,,,,,20200328,68
"United Republic of 
Tanzania",13,0,0,0,Imported cases only,2,,,,,,,,,,20200328,68
Zambia,13,10,0,0,Local transmission,0,,,,,,,,,,20200328,68
Niger,10,0,1,0,Local transmission,1,,,,,,,,,,20200328,68
Eswatini,9,3,0,0,Imported cases only,0,,,,,,,,,,20200328,68
Mali,9,7,0,0,Local transmission,0,,,,,,,,,,20200328,68
Guinea,8,3,0,0,Imported cases only,0,,,,,,,,,,20200328,68
Namibia,8,0,0,0,Imported cases only,1,,,,,,,,,,20200328,68
Gabon,7,1,1,0,Imported cases only,0,,,,,,,,,,20200328,68
Mozambique,7,2,0,0,Local transmission,0,,,,,,,,,,20200328,68
Seychelles,7,0,0,0,Imported cases only,6,,,,,,,,,,20200328,68
Benin,6,0,0,0,Imported cases only,1,,,,,,,,,,20200328,68
"Central African 
Republic",6,1,0,0,Imported cases only,0,,,,,,,,,,20200328,68
Equatorial Guinea,6,0,0,0,Imported cases only,6,,,,,,,,,,20200328,68
Eritrea,6,0,0,0,Imported cases only,1,,,,,,,,,,20200328,68
Cabo Verde,5,2,1,1,Imported cases only,0,,,,,,,,,,20200328,68
Chad,5,0,0,0,Imported cases only,1,,,,,,,,,,20200328,68
Zimbabwe,5,2,1,0,Local transmission,0,,,,,,,,,,20200328,68
Liberia,3,0,0,0,Local transmission,6,,,,,,,,,,20200328,68
Mauritania,3,0,0,0,Imported cases only,1,,,,,,,,,,20200328,68
Angola,2,0,0,0,Imported cases only,6,,,,,,,,,,20200328,68
Gambia,2,0,1,1,Imported cases only,3,,,,,,,,,,20200328,68
Guinea-Bissau,2,0,0,0,Imported cases only,2,,,,,,,,,,20200328,68
Territories**,,,,,,,,,,,,,,,,20200328,68
Réunion,135,0,0,0,Local transmission,1,,,,,,,,,,20200328,68
Mayotte,50,0,0,0,Local transmission,1,,,,,,,,,,20200328,68
"Subtotal for all 
regions",570947,62495,26486,3158,,,,,,,,,,,,20200328,68
"International 
conveyance 
(Diamond Princess)",712,0,7,0,Local transmission,12,,,,,,,,,,20200328,68
Grand total,571659,62495,26493,3158,,,,,,,,,,,,20200328,68
,,,,,,,,,,,,,,,,20200328,68
,,,,,,,,,,,,,,,,20200328,68
,,,,,,,,,,,,,,,,20200328,68
