0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,date,sitrep
"Total 
Total 
Total 
Days since last 
Reporting Country/ 
Total 
Transmission 
confirmed
confirmed 
new 
reported case 
Territory/Area† 
deaths 
classification§ 
‡ cases 
new cases 
deaths",,,,,,,,,,,,,,,,20200328,68
Western Pacific Region,,,,,,,,,,,,,,,,20200328,68
China,82213,135,3301,3,Local transmission,0,,,,,,,,,,20200328,68
Republic of Korea,9478,146,144,5,Local transmission,0,,,,,,,,,,20200328,68
Australia,3635,650,14,1,Local transmission,0,,,,,,,,,,20200328,68
Malaysia,2161,130,26,3,Local transmission,0,,,,,,,,,,20200328,68
Japan,1499,112,49,3,Local transmission,0,,,,,,,,,,20200328,68
Philippines,803,96,54,9,Local transmission,0,,,,,,,,,,20200328,68
Singapore,732,49,2,0,Local transmission,0,,,,,,,,,,20200328,68
New Zealand,416,78,0,0,Local transmission,0,,,,,,,,,,20200328,68
Viet Nam,169,16,0,0,Local transmission,0,,,,,,,,,,20200328,68
Brunei Darussalam,115,1,1,1,Local transmission,0,,,,,,,,,,20200328,68
Cambodia,102,4,0,0,Local transmission,0,,,,,,,,,,20200328,68
Mongolia,12,1,0,0,Imported cases only,0,,,,,,,,,,20200328,68
"Lao People's 
Democratic Republic",6,0,0,0,Local transmission,1,,,,,,,,,,20200328,68
Fiji,5,0,0,0,Local transmission,2,,,,,,,,,,20200328,68
Papua New Guinea,1,0,0,0,Imported cases only,7,,,,,,,,,,20200328,68
Territories**,,,,,,,,,,,,,,,,20200328,68
"Guam 
51 
6 
1 
0 
Local transmission 
0",,,,,,,,,,,,,,,,20200328,68
"French Polynesia 
30 
0 
0 
0 
Local transmission 
1",,,,,,,,,,,,,,,,20200328,68
"New Caledonia 
15 
1 
0 
0 
Local transmission 
0",,,,,,,,,,,,,,,,20200328,68
European Region,,,,,,,,,,,,,,,,20200328,68
Italy,86498,5959,9136,971,Local transmission,0,,,,,,,,,,20200328,68
Spain,64059,7871,4858,769,Local transmission,0,,,,,,,,,,20200328,68
Germany,48582,6294,325,72,Local transmission,0,,,,,,,,,,20200328,68
France,32542,3756,1992,297,Local transmission,0,,,,,,,,,,20200328,68
The United Kingdom,14547,2885,759,181,Local transmission,0,,,,,,,,,,20200328,68
Switzerland,12104,1390,197,36,Local transmission,0,,,,,,,,,,20200328,68
Netherlands,8603,1172,546,112,Local transmission,0,,,,,,,,,,20200328,68
Austria,7697,668,68,16,Local transmission,0,,,,,,,,,,20200328,68
Belgium,7284,1049,289,69,Local transmission,0,,,,,,,,,,20200328,68
Turkey,5698,2069,92,17,Local transmission,0,,,,,,,,,,20200328,68
Portugal,4268,724,76,16,Local transmission,0,,,,,,,,,,20200328,68
Norway,3581,425,16,2,Local transmission,0,,,,,,,,,,20200328,68
Israel,3460,425,12,2,Local transmission,0,,,,,,,,,,20200328,68
Sweden,3046,240,92,26,Local transmission,0,,,,,,,,,,20200328,68
Czechia,2279,217,9,0,Local transmission,0,,,,,,,,,,20200328,68
Ireland,2121,302,22,3,Local transmission,0,,,,,,,,,,20200328,68
Denmark,2046,169,52,11,Local transmission,0,,,,,,,,,,20200328,68
Luxembourg,1605,152,15,6,Local transmission,0,,,,,,,,,,20200328,68
Poland,1389,168,16,0,Local transmission,0,,,,,,,,,,20200328,68
Romania,1292,263,24,7,Local transmission,0,,,,,,,,,,20200328,68
Russian Federation,1264,228,4,1,Local transmission,0,,,,,,,,,,20200328,68
Finland,1025,67,7,3,Local transmission,0,,,,,,,,,,20200328,68
Greece,966,74,28,2,Local transmission,0,,,,,,,,,,20200328,68
Iceland,890,88,2,0,Local transmission,0,,,,,,,,,,20200328,68
Slovenia,632,55,9,4,Local transmission,0,,,,,,,,,,20200328,68
Croatia,586,91,3,1,Local transmission,0,,,,,,,,,,20200328,68
Estonia,575,37,1,0,Local transmission,0,,,,,,,,,,20200328,68
Serbia,528,71,7,0,Local transmission,0,,,,,,,,,,20200328,68
Armenia,372,43,1,0,Local transmission,0,,,,,,,,,,20200328,68
Lithuania,358,59,5,1,Local transmission,0,,,,,,,,,,20200328,68
Hungary,343,43,11,1,Local transmission,0,,,,,,,,,,20200328,68
Ukraine,311,93,8,3,Local transmission,0,,,,,,,,,,20200328,68
Slovakia,295,69,0,0,Local transmission,0,,,,,,,,,,20200328,68
Bulgaria,293,29,3,0,Local transmission,0,,,,,,,,,,20200328,68
Andorra,289,58,3,0,Local transmission,0,,,,,,,,,,20200328,68
Latvia,280,36,0,0,Local transmission,0,,,,,,,,,,20200328,68
"Bosnia and 
Herzegovina",233,20,4,1,Local transmission,0,,,,,,,,,,20200328,68
San Marino,228,10,21,0,Local transmission,0,,,,,,,,,,20200328,68
North Macedonia,219,18,3,0,Local transmission,0,,,,,,,,,,20200328,68
Kazakhstan,204,79,1,1,Imported cases only,0,,,,,,,,,,20200328,68
Republic of Moldova,199,22,2,0,Local transmission,0,,,,,,,,,,20200328,68
Albania,197,11,9,1,Local transmission,0,,,,,,,,,,20200328,68
Cyprus,162,16,5,2,Local transmission,0,,,,,,,,,,20200328,68
Azerbaijan,147,25,3,0,Local transmission,0,,,,,,,,,,20200328,68
Malta,139,5,0,0,Local transmission,0,,,,,,,,,,20200328,68
Uzbekistan,104,21,1,1,Local transmission,0,,,,,,,,,,20200328,68
Belarus,94,8,0,0,Local transmission,0,,,,,,,,,,20200328,68
Georgia,85,4,0,0,Local transmission,0,,,,,,,,,,20200328,68
Montenegro,70,3,1,0,Local transmission,0,,,,,,,,,,20200328,68
Liechtenstein,60,4,0,0,Imported cases only,0,,,,,,,,,,20200328,68
Kyrgyzstan,58,0,0,0,Local transmission,1,,,,,,,,,,20200328,68
Monaco,19,0,0,0,Local transmission,5,,,,,,,,,,20200328,68
Holy See,4,0,0,0,Under investigation,2,,,,,,,,,,20200328,68
Territories**,,,,,,,,,,,,,,,,20200328,68
Faroe Islands,144,4,0,0,Local transmission,0,,,,,,,,,,20200328,68
Kosovo[1],88,9,1,0,Local transmission,0,,,,,,,,,,20200328,68
Gibraltar,55,20,0,0,Local transmission,0,,,,,,,,,,20200328,68
Jersey,52,20,1,0,Local transmission,0,,,,,,,,,,20200328,68
Guernsey,36,2,0,0,Local transmission,0,,,,,,,,,,20200328,68
Isle of Man,29,3,0,0,Local transmission,0,,,,,,,,,,20200328,68
Greenland,9,3,0,0,Under investigation,0,,,,,,,,,,20200328,68
South-East Asia Region,,,,,,,,,,,,,,,,20200328,68
Thailand,1136,0,5,0,Local transmission,1,,,,,,,,,,20200328,68
Indonesia,1046,153,87,9,Local transmission,0,,,,,,,,,,20200328,68
India,724,0,17,0,Local transmission,1,,,,,,,,,,20200328,68
Sri Lanka,106,0,0,0,Local transmission,1,,,,,,,,,,20200328,68
Bangladesh,48,0,5,0,Local transmission,1,,,,,,,,,,20200328,68
Maldives,13,0,0,0,Local transmission,12,,,,,,,,,,20200328,68
Myanmar,5,0,0,0,Imported cases only,1,,,,,,,,,,20200328,68
Bhutan,3,0,0,0,Imported cases only,1,,,,,,,,,,20200328,68
Nepal,3,0,0,0,Imported cases only,2,,,,,,,,,,20200328,68
Timor-Leste,1,0,0,0,Imported cases only,7,,,,,,,,,,20200328,68
Eastern Mediterranean Region,,,,,,,,,,,,,,,,20200328,68
"Iran (Islamic Republic 
of)",32332,2926,2378,144,Local transmission,0,,,,,,,,,,20200328,68
Pakistan,1235,178,9,1,Local transmission,0,,,,,,,,,,20200328,68
