0,1,2,3,4,5,6,7,8,9,10,11,date,sitrep
"Total 
Total 
Total 
Days since last 
Reporting Country/ 
Total 
Transmission 
confirmed
confirmed 
new 
reported case 
Territory/Area† 
deaths 
classification§ 
‡ cases 
new cases 
deaths",,,,,,,,,,,,20200322,62
Western Pacific Region,,,,,,,,,,,,20200322,62
China,81498,82,3267,6,Local transmission,0,,,,,,20200322,62
Republic of Korea,8897,98,104,2,Local transmission,0,,,,,,20200322,62
Malaysia,1183,153,3,0,Local transmission,0,,,,,,20200322,62
Australia,1081,208,7,0,Local transmission,0,,,,,,20200322,62
Japan,1046,50,36,1,Local transmission,0,,,,,,20200322,62
Singapore,432,47,2,2,Local transmission,0,,,,,,20200322,62
Philippines,307,77,19,1,Local transmission,0,,,,,,20200322,62
Viet Nam,94,3,0,0,Local transmission,0,,,,,,20200322,62
Brunei Darussalam,83,5,0,0,Local transmission,0,,,,,,20200322,62
New Zealand,66,13,0,0,Local transmission,0,,,,,,20200322,62
Cambodia,53,2,0,0,Local transmission,0,,,,,,20200322,62
Mongolia,10,4,0,0,Imported cases only,0,,,,,,20200322,62
Fiji,2,1,0,0,Local transmission,0,,,,,,20200322,62
Papua New Guinea,1,0,0,0,Imported cases only,1,,,,,,20200322,62
Territories**,,,,,,,,,,,,20200322,62
"French Polynesia 
15 
4 
0 
0 
Imported cases only 
0",,,,,,,,,,,,20200322,62
"Guam 
15 
1 
0 
0 
Local transmission 
0",,,,,,,,,,,,20200322,62
"New Caledonia 
4 
2 
0 
0 
Imported cases only 
0",,,,,,,,,,,,20200322,62
European Region ^,,,,,,,,,,,,20200322,62
Italy,53578,6557,4827,795,Local transmission,0,,,,,,20200322,62
Spain,24926,4946,1326,324,Local transmission,0,,,,,,20200322,62
Germany,21463,3140,67,22,Local transmission,0,,,,,,20200322,62
France,14296,1821,562,112,Local transmission,0,,,,,,20200322,62
Switzerland,6077,1237,56,13,Local transmission,0,,,,,,20200322,62
The United Kingdom,5018,1035,233,56,Local transmission,0,,,,,,20200322,62
Netherlands,3631,637,136,30,Local transmission,0,,,,,,20200322,62
Austria,3024,375,8,2,Local transmission,0,,,,,,20200322,62
Belgium,2815,558,67,30,Local transmission,0,,,,,,20200322,62
Norway,1926,184,7,0,Local transmission,0,,,,,,20200322,62
Sweden,1746,123,20,4,Local transmission,0,,,,,,20200322,62
Denmark,1326,71,13,4,Local transmission,0,,,,,,20200322,62
Portugal,1280,260,12,6,Local transmission,0,,,,,,20200322,62
Czechia,995,91,0,0,Local transmission,0,,,,,,20200322,62
Turkey,947,277,21,12,Local transmission,0,,,,,,20200322,62
Israel,883,171,1,0,Local transmission,0,,,,,,20200322,62
Ireland,785,102,3,0,Local transmission,0,,,,,,20200322,62
Luxembourg,670,186,8,3,Local transmission,0,,,,,,20200322,62
Poland,536,111,5,0,Local transmission,0,,,,,,20200322,62
Greece,530,35,13,5,Local transmission,0,,,,,,20200322,62
Finland,521,71,1,1,Local transmission,0,,,,,,20200322,62
Iceland,473,64,1,0,Local transmission,0,,,,,,20200322,62
Slovenia,383,42,1,0,Local transmission,0,,,,,,20200322,62
Romania,367,59,0,0,Local transmission,0,,,,,,20200322,62
Estonia,306,23,0,0,Local transmission,0,,,,,,20200322,62
Russian Federation,306,53,0,0,Local transmission,0,,,,,,20200322,62
Croatia,206,80,0,0,Local transmission,0,,,,,,20200322,62
Slovakia,178,41,0,0,Local transmission,0,,,,,,20200322,62
Serbia††,173,38,1,0,Local transmission,0,,,,,,20200322,62
Bulgaria,163,36,3,0,Local transmission,0,,,,,,20200322,62
Armenia,160,24,0,0,Local transmission,0,,,,,,20200322,62
San Marino,151,0,20,6,Local transmission,1,,,,,,20200322,62
Hungary,131,46,4,0,Local transmission,0,,,,,,20200322,62
Latvia,124,13,0,0,Imported cases only,0,,,,,,20200322,62
Lithuania,105,36,1,0,Imported cases only,0,,,,,,20200322,62
"Bosnia and 
Herzegovina",92,48,1,1,Local transmission,0,,,,,,20200322,62
Andorra,88,13,0,0,Imported cases only,0,,,,,,20200322,62
North Macedonia,85,15,0,0,Local transmission,0,,,,,,20200322,62
Cyprus,84,17,0,0,Local transmission,0,,,,,,20200322,62
Republic of Moldova,80,14,1,0,Local transmission,0,,,,,,20200322,62
Albania,76,6,2,0,Local transmission,0,,,,,,20200322,62
Belarus,76,19,0,0,Local transmission,0,,,,,,20200322,62
Malta,73,9,0,0,Imported cases only,0,,,,,,20200322,62
Kazakhstan,56,3,0,0,Imported cases only,0,,,,,,20200322,62
Azerbaijan,53,9,1,0,Imported cases only,0,,,,,,20200322,62
Georgia,49,6,0,0,Imported cases only,0,,,,,,20200322,62
Ukraine,47,21,3,0,Local transmission,0,,,,,,20200322,62
Liechtenstein,36,2,0,0,Imported cases only,0,,,,,,20200322,62
Uzbekistan,33,0,0,0,Local transmission,1,,,,,,20200322,62
Monaco,18,6,0,0,Under investigation,0,,,,,,20200322,62
Kyrgyzstan,14,8,0,0,Imported cases only,0,,,,,,20200322,62
Montenegro,14,0,0,0,Imported cases only,1,,,,,,20200322,62
Holy See,1,0,0,0,Under investigation,15,,,,,,20200322,62
Territories**,,,,,,,,,,,,20200322,62
Faroe Islands,92,12,0,0,Local transmission,0,,,,,,20200322,62
Jersey,12,0,0,0,Imported cases only,1,,,,,,20200322,62
Gibraltar,10,0,0,0,Under investigation,2,,,,,,20200322,62
Greenland,2,0,0,0,Under investigation,3,,,,,,20200322,62
Isle of Man,2,1,0,0,Imported cases only,0,,,,,,20200322,62
Guernsey,1,0,0,0,Imported cases only,12,,,,,,20200322,62
South-East Asia Region,,,,,,,,,,,,20200322,62
Indonesia,450,81,38,6,Local transmission,0,,,,,,20200322,62
Thailand,411,89,1,0,Local transmission,0,,,,,,20200322,62
India,283,88,4,0,Local transmission,0,,,,,,20200322,62
Sri Lanka,72,13,0,0,Local transmission,0,,,,,,20200322,62
Bangladesh,24,7,2,1,Local transmission,0,,,,,,20200322,62
Maldives,13,0,0,0,Local transmission,6,,,,,,20200322,62
Bhutan,2,0,0,0,Imported cases only,2,,,,,,20200322,62
Nepal,1,0,0,0,Imported cases only,58,,,,,,20200322,62
Timor-Leste,1,0,0,0,Imported cases only,1,,,,,,20200322,62
Eastern Mediterranean Region,,,,,,,,,,,,20200322,62
"Iran (Islamic Republic 
of)",20610,966,1556,123,Local transmission,0,,,,,,20200322,62
Pakistan,495,34,3,1,Local transmission,0,,,,,,20200322,62
Qatar,470,10,0,0,Local transmission,0,,,,,,20200322,62
Saudi Arabia,392,118,0,0,Local transmission,0,,,,,,20200322,62
Bahrain,306,21,1,0,Local transmission,0,,,,,,20200322,62
Egypt,285,29,8,1,Local transmission,0,,,,,,20200322,62
Iraq,214,21,17,3,Local transmission,0,,,,,,20200322,62
Lebanon,206,43,4,0,Local transmission,0,,,,,,20200322,62
Kuwait,176,17,0,0,Local transmission,0,,,,,,20200322,62
United Arab Emirates,153,13,2,2,Local transmission,0,,,,,,20200322,62
Morocco,86,12,3,0,Local transmission,0,,,,,,20200322,62
Jordan,84,15,0,0,Imported cases only,0,,,,,,20200322,62
Tunisia,60,6,1,0,Local transmission,0,,,,,,20200322,62
Oman,52,4,0,0,Local transmission,0,,,,,,20200322,62
Afghanistan,24,0,0,0,Imported cases only,1,,,,,,20200322,62
Sudan,2,1,1,0,Imported cases only,0,,,,,,20200322,62
Djibouti,1,0,0,0,Under investigation,3,,,,,,20200322,62
Somalia,1,0,0,0,Imported cases only,5,,,,,,20200322,62
Territories**,,,,,,,,,,,,20200322,62
"occupied Palestinian 
52 
4 
0 
0 
Local transmission 
0 
territory",,,,,,,,,,,,20200322,62
Region of the Americas,,,,,,,,,,,,20200322,62
"United States of 
America",15219,0,201,0,Local transmission,1,,,,,,20200322,62
Canada,1048,202,13,4,Local transmission,0,,,,,,20200322,62
Brazil,904,283,11,7,Local transmission,0,,,,,,20200322,62
Ecuador,506,139,7,2,Local transmission,0,,,,,,20200322,62
Chile,434,0,1,1,Local transmission,1,,,,,,20200322,62
Peru,318,84,2,0,Local transmission,0,,,,,,20200322,62
Colombia,196,51,0,0,Local transmission,0,,,,,,20200322,62
Mexico,164,0,1,0,Imported cases only,1,,,,,,20200322,62
Argentina,158,30,3,0,Local transmission,0,,,,,,20200322,62
Panama,137,0,1,0,Local transmission,1,,,,,,20200322,62
Costa Rica,113,0,2,0,Local transmission,1,,,,,,20200322,62
Uruguay,94,0,0,0,Imported cases only,1,,,,,,20200322,62
Dominican Republic,72,0,2,0,Local transmission,1,,,,,,20200322,62
"Venezuela (Bolivarian 
Republic of)",36,0,0,0,Imported cases only,3,,,,,,20200322,62
Honduras,24,0,0,0,Imported cases only,1,,,,,,20200322,62
"Bolivia (Plurinational 
State of)",19,3,0,0,Local transmission,0,,,,,,20200322,62
Paraguay,18,5,1,1,Local transmission,0,,,,,,20200322,62
Cuba,16,0,1,0,Imported cases only,1,,,,,,20200322,62
Jamaica,16,0,1,0,Local transmission,1,,,,,,20200322,62
Guatemala,12,0,1,0,Imported cases only,1,,,,,,20200322,62
Trinidad and Tobago,9,0,0,0,Imported cases only,2,,,,,,20200322,62
Barbados,5,0,0,0,Imported cases only,1,,,,,,20200322,62
Guyana,5,0,1,0,Local transmission,3,,,,,,20200322,62
Bahamas,4,0,0,0,Local transmission,1,,,,,,20200322,62
Haiti,2,0,0,0,Imported cases only,1,,,,,,20200322,62
Nicaragua,2,1,0,0,Imported cases only,0,,,,,,20200322,62
Saint Lucia,2,0,0,0,Imported cases only,6,,,,,,20200322,62
Suriname,2,0,0,0,Imported cases only,1,,,,,,20200322,62
Antigua and Barbuda,1,0,0,0,Imported cases only,8,,,,,,20200322,62
El Salvador,1,0,0,0,Imported cases only,2,,,,,,20200322,62
"Saint Vincent and the 
Grenadines",1,0,0,0,Imported cases only,8,,,,,,20200322,62
Territories**,,,,,,,,,,,,20200322,62
Guadeloupe,51,0,0,0,Imported cases only,1,,,,,,20200322,62
Martinique,32,0,0,0,Imported cases only,2,,,,,,20200322,62
Puerto Rico,21,7,1,1,Imported cases only,0,,,,,,20200322,62
French Guiana,15,0,0,0,Local transmission,2,,,,,,20200322,62
"United States Virgin 
Islands",6,3,0,0,Imported cases only,0,,,,,,20200322,62
Aruba,5,0,0,0,Imported cases only,2,,,,,,20200322,62
Saint Martin,4,0,0,0,Under investigation,3,,,,,,20200322,62
